dataset,LogisticRegression()-HO,LogisticRegression()+HO,Perceptron()-HO,Perceptron()+HO,PassiveAggressiveClassifier()-HO,PassiveAggressiveClassifier()+HO,RidgeClassifier()-HO,RidgeClassifier()+HO,LinearDiscriminantAnalysis()-HO,LinearDiscriminantAnalysis()+HO,QuadraticDiscriminantAnalysis()-HO,QuadraticDiscriminantAnalysis()+HO,LinearSVC()-HO,LinearSVC()+HO,KNeighborsClassifier()-HO,KNeighborsClassifier()+HO,NearestCentroid()-HO,NearestCentroid()+HO,GaussianNB()-HO,GaussianNB()+HO,MultinomialNB()-HO,MultinomialNB()+HO,ComplementNB()-HO,ComplementNB()+HO,BernoulliNB()-HO,BernoulliNB()+HO,DecisionTreeClassifier()-HO,DecisionTreeClassifier()+HO,RandomForestClassifier()-HO,RandomForestClassifier()+HO,MLPWrapper()-HO,MLPWrapper()+HO
416.arff,0.769230769,0.769230769,0.538461538,0.769230769,0.769230769,0.769230769,0.769230769,0.769230769,0.769230769,0.769230769,0.692307692,0.692307692,0.769230769,0.846153846,0.692307692,0.615384615,0.769230769,0.769230769,0.769230769,0.769230769,0.538461538,0.538461538,0.769230769,0.769230769,0.384615385,0.384615385,0.846153846,0.615384615,0.769230769,0.769230769,0.769230769,0.769230769
417.arff,0.719298246,0.736842105,0.789473684,0.631578947,0.771929825,0.719298246,0.719298246,0.736842105,0.736842105,0.736842105,0.736842105,0.684210526,0.771929825,0.754385965,0.789473684,0.807017544,0.736842105,0.771929825,0.701754386,0.701754386,0.526315789,0.526315789,0.771929825,0.771929825,0.473684211,0.473684211,0.842105263,0.771929825,0.807017544,0.736842105,0.736842105,0.824561404
418.arff,0.889273356,0.948096886,0.847750865,0.930795848,0.889273356,0.923875433,0.910034602,0.920415225,0.910034602,0.91349481,0.941176471,0.941176471,0.903114187,0.941176471,0.920415225,0.92733564,0.525951557,0.910034602,0.948096886,0.948096886,0.844290657,0.851211073,0.851211073,0.851211073,0.889273356,0.889273356,0.930795848,0.92733564,0.958477509,0.930795848,0.906574394,0.955017301
419.arff,0.950617284,0.950617284,0.925925926,0.925925926,0.938271605,0.950617284,0.950617284,0.950617284,0.925925926,0.925925926,0.950617284,0.938271605,0.925925926,0.950617284,0.950617284,0.950617284,0.679012346,0.740740741,0.469135802,0.950617284,0.901234568,0.901234568,0.765432099,0.814814815,0.938271605,0.938271605,0.938271605,0.950617284,0.950617284,0.950617284,0.938271605,0.950617284
420.arff,0.992509363,0.992509363,0.988764045,0.992509363,0.992509363,0.992509363,0.992509363,0.992509363,0.97752809,0.97752809,0.992509363,0.992509363,0.992509363,0.992509363,0.992509363,0.992509363,0.752808989,0.880149813,0.820224719,0.992509363,0.992509363,0.992509363,0.887640449,0.891385768,0.992509363,0.992509363,0.988764045,0.992509363,0.992509363,0.992509363,0.992509363,0.992509363
421.arff,0.807692308,0.673076923,0.692307692,0.769230769,0.692307692,0.711538462,0.730769231,0.730769231,0.711538462,0.711538462,0.788461538,0.75,0.75,0.711538462,0.769230769,0.788461538,0.692307692,0.634615385,0.596153846,0.634615385,0.75,0.75,0.75,0.75,0.634615385,0.634615385,0.653846154,0.653846154,0.826923077,0.769230769,0.788461538,0.826923077
422.arff,0.970760234,0.970760234,0.912280702,0.964912281,0.771929825,0.976608187,0.976608187,0.98245614,0.98245614,0.98245614,0.824561404,0.859649123,0.976608187,0.970760234,0.929824561,0.970760234,0.678362573,0.754385965,0.713450292,0.824561404,0.900584795,0.900584795,0.707602339,0.707602339,0.432748538,0.432748538,0.964912281,0.847953216,0.988304094,0.847953216,0.964912281,0.964912281
423.arff,0.773487773,0.84041184,0.631917632,0.703989704,0.598455598,0.800514801,0.792792793,0.813384813,0.835263835,0.835263835,0.826254826,0.826254826,0.812097812,0.842985843,0.808236808,0.805662806,0.635778636,0.684684685,0.74002574,0.74002574,0.482625483,0.482625483,0.592020592,0.592020592,0.483912484,0.483912484,0.764478764,0.715572716,0.839124839,0.715572716,0.828828829,0.855855856
426.arff,0.795454545,0.840909091,0.693181818,0.386363636,0.625,0.829545455,0.670454545,0.693181818,0.784090909,0.784090909,0.897727273,0.897727273,0.784090909,0.795454545,0.738636364,0.863636364,0.704545455,0.738636364,0.738636364,0.727272727,0.625,0.625,0.670454545,0.670454545,0.613636364,0.613636364,0.886363636,0.625,0.954545455,0.625,0.647727273,0.886363636
427.arff,0.92481203,0.962406015,0.909774436,0.902255639,0.954887218,0.92481203,0.887218045,0.879699248,0.894736842,0.902255639,0.879699248,0.879699248,0.939849624,0.977443609,0.902255639,0.92481203,0.857142857,0.864661654,0.84962406,0.92481203,0.887218045,0.887218045,0.834586466,0.842105263,0.834586466,0.857142857,0.939849624,0.947368421,0.932330827,0.932330827,0.932330827,0.984962406
428.arff,0.794486216,0.793233083,0.462406015,0.561403509,0.498746867,0.723057644,0.794486216,0.799498747,0.794486216,0.794486216,0.850877193,0.852130326,0.63283208,0.79197995,0.815789474,0.810776942,0.507518797,0.580200501,0.848370927,0.852130326,0.611528822,0.611528822,0.607769424,0.607769424,0.80952381,0.80952381,0.937343358,0.814536341,0.961152882,0.835839599,0,0
429.arff,0.789473684,0.789473684,0.842105263,0.789473684,0.789473684,0.684210526,0.684210526,0.842105263,0.684210526,0.684210526,0.947368421,0.947368421,0.684210526,0.789473684,0.842105263,0.842105263,0.473684211,0.473684211,0.631578947,0.842105263,0.789473684,0.842105263,0.736842105,0.789473684,0.842105263,0.842105263,0.789473684,0.842105263,0.842105263,0.842105263,0.842105263,0.578947368
430.arff,0.615384615,0.846153846,0.461538462,0.692307692,0.538461538,0.230769231,0.615384615,0.769230769,0.615384615,0.615384615,0.769230769,0.538461538,0.615384615,0.692307692,0.461538462,0.384615385,0.461538462,0.461538462,0.846153846,0.846153846,0.461538462,0.461538462,0.461538462,0.461538462,0.538461538,0.538461538,0.692307692,0.538461538,0.692307692,0.538461538,0.615384615,0.615384615
431.arff,0.727272727,0.818181818,0.454545455,0.818181818,0.727272727,0.454545455,0.818181818,0.818181818,0.272727273,0.272727273,0.363636364,0.272727273,0.818181818,0.818181818,0.454545455,0.636363636,0.727272727,0.818181818,0.454545455,0.454545455,0.454545455,0.454545455,0.363636364,0.363636364,0.545454545,0.363636364,0.636363636,0.636363636,0.454545455,0.636363636,0.636363636,0.636363636
432.arff,0.722222222,0.666666667,0.833333333,0.833333333,0.722222222,0.722222222,0.722222222,0.722222222,0.722222222,0.722222222,0.388888889,0.833333333,0.722222222,0.722222222,0.833333333,0.833333333,0.777777778,0.777777778,0.722222222,0.777777778,0.666666667,0.666666667,0.777777778,0.777777778,0.611111111,0.611111111,0.666666667,0.611111111,0.722222222,0.722222222,0.833333333,0.777777778
433.arff,0.75210084,0.827731092,0.676470588,0.806722689,0.802521008,0.819327731,0.777310924,0.773109244,0.773109244,0.773109244,0.878151261,0.878151261,0.802521008,0.827731092,0.941176471,0.945378151,0.655462185,0.676470588,0.672268908,0.672268908,0.642857143,0.642857143,0.668067227,0.668067227,0.449579832,0.449579832,0.928571429,0.819327731,0.962184874,0.819327731,0.87394958,0.924369748
434.arff,0.707006369,0.757961783,0.732484076,0.675159236,0.808917197,0.713375796,0.751592357,0.732484076,0.789808917,0.789808917,0.834394904,0.834394904,0.777070064,0.757961783,0.891719745,0.878980892,0.394904459,0.694267516,0.757961783,0.751592357,0.662420382,0.662420382,0.72611465,0.72611465,0.649681529,0.649681529,0.802547771,0.662420382,0.898089172,0.662420382,0.802547771,0.840764331
435.arff,0.573248408,0.585987261,0.554140127,0.681528662,0.496815287,0.624203822,0.573248408,0.573248408,0.585987261,0.585987261,0.687898089,0.687898089,0.579617834,0.694267516,0.917197452,1,0.662420382,0.656050955,0.605095541,0.585987261,0.573248408,0.573248408,0.630573248,0.617834395,0.515923567,0.515923567,0.929936306,0.847133758,0.98089172,0.757961783,0.643312102,0.955414013
436.arff,0.631578947,0.631578947,0.684210526,0.657894737,0.657894737,0.657894737,0.631578947,0.631578947,0.631578947,0.631578947,0.736842105,0.736842105,0.631578947,0.657894737,0.684210526,0.736842105,0.736842105,0.736842105,0.736842105,0.736842105,0.631578947,0.631578947,0.552631579,0.526315789,0.736842105,0.736842105,0.710526316,0.631578947,0.736842105,0.631578947,0.684210526,0.736842105
437.arff,0.95,0.983333333,0.8,0.75,0.9,0.95,0.966666667,0.966666667,0.933333333,0.95,0.7,0.7,0.966666667,0.983333333,0.9,0.95,0.683333333,0.7,0.7,0.7,0.733333333,0.733333333,0.716666667,0.716666667,0.35,0.35,0.866666667,0.833333333,0.9,0.816666667,0.966666667,0.983333333
438.arff,0.666666667,0.654166667,0.375,0.6625,0.633333333,0.6375,0.65,0.65,0.658333333,0.658333333,0.754166667,0.754166667,0.65,0.641666667,0.791666667,0.816666667,0.579166667,0.6625,0.708333333,0.704166667,0.629166667,0.629166667,0.583333333,0.583333333,0.625,0.625,0.845833333,0.625,0.925,0.625,0.820833333,0.9625
439.arff,0.96969697,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.939393939,0.666666667,0.666666667,0.696969697,0.757575758,0.666666667,0.666666667,1,1,1,0.666666667,1,1
440.arff,0.659574468,0.680851064,0.595744681,0.617021277,0.531914894,0.70212766,0.70212766,0.680851064,0.744680851,0.744680851,0.617021277,0.617021277,0.744680851,0.723404255,0.765957447,0.70212766,0.595744681,0.595744681,0.659574468,0.638297872,0.680851064,0.680851064,0.595744681,0.659574468,0.659574468,0.659574468,0.723404255,0.510638298,0.723404255,0.659574468,0.723404255,0.723404255
442.arff,0.820754717,0.948113208,0.910377358,0.863207547,0.896226415,0.924528302,0.91509434,0.91509434,0.95754717,0.95754717,0.990566038,0.990566038,0.919811321,0.952830189,0.976415094,0.976415094,0.674528302,0.70754717,0.839622642,0.83490566,0.735849057,0.735849057,0.650943396,0.650943396,0.745283019,0.745283019,0.971698113,0.910377358,0.995283019,0.905660377,0.948113208,0.971698113
443.arff,0.628571429,0.657142857,0.685714286,0.485714286,0.657142857,0.714285714,0.685714286,0.685714286,0.685714286,0.685714286,0.6,0.742857143,0.657142857,0.742857143,0.742857143,0.742857143,0.542857143,0.542857143,0.285714286,0.685714286,0.685714286,0.685714286,0.457142857,0.457142857,0.628571429,0.628571429,0.742857143,0.685714286,0.8,0.685714286,0.714285714,0.742857143
444.arff,0.769230769,0.769230769,0.538461538,0.769230769,0.769230769,0.769230769,0.769230769,0.769230769,0.769230769,0.769230769,0.692307692,0.692307692,0.769230769,0.846153846,0.692307692,0.615384615,0.769230769,0.769230769,0.769230769,0.769230769,0.538461538,0.538461538,0.769230769,0.769230769,0.384615385,0.384615385,0.846153846,0.769230769,0.769230769,0.846153846,0.769230769,0.692307692
445.arff,0.810526316,0.821052632,0.821052632,0.810526316,0.821052632,0.831578947,0.821052632,0.810526316,0.821052632,0.821052632,0.821052632,0.821052632,0.810526316,0.810526316,0.831578947,0.831578947,0.789473684,0.821052632,0.821052632,0.821052632,0.684210526,0.684210526,0.673684211,0.673684211,0.484210526,0.484210526,0.789473684,0.821052632,0.831578947,0.821052632,0.810526316,0.831578947
447.arff,0.678571429,0.75,0.571428571,0.607142857,0.535714286,0.642857143,0.714285714,0.714285714,0.714285714,0.714285714,0.75,0.75,0.75,0.678571429,0.571428571,0.607142857,0.714285714,0.571428571,0.714285714,0.678571429,0.428571429,0.428571429,0.535714286,0.535714286,0.428571429,0.428571429,0.607142857,0.714285714,0.714285714,0.714285714,0.678571429,0.535714286
448.arff,0.545454545,0.318181818,0.681818182,0.681818182,0.318181818,0.318181818,0.545454545,0.5,0.545454545,0.545454545,0.5,0.318181818,0.545454545,0.318181818,0.454545455,0.409090909,0.5,0.5,0.545454545,0.545454545,0.363636364,0.363636364,0.5,0.5,0.590909091,0.590909091,0.454545455,0.318181818,0.454545455,0.545454545,0.545454545,0.363636364
449.arff,0.814814815,0.913580247,0.950617284,0.728395062,0.814814815,0.962962963,0.851851852,0.864197531,0.888888889,0.888888889,0.901234568,0.901234568,0.87654321,0.913580247,0.925925926,0.925925926,0.913580247,0.913580247,0.913580247,0.87654321,0.641975309,0.641975309,0.87654321,0.87654321,0.469135802,0.469135802,0.87654321,0.75308642,0.913580247,0.901234568,0.839506173,0.913580247
450.arff,0.473684211,0.526315789,0.526315789,0.526315789,0.526315789,0.526315789,0.684210526,0.526315789,0.736842105,0.736842105,0.578947368,0.526315789,0.736842105,0.526315789,0.631578947,0.631578947,0.578947368,0.578947368,0.526315789,0.526315789,0.526315789,0.526315789,0.526315789,0.526315789,0.526315789,0.526315789,0.526315789,0.684210526,0.631578947,0.684210526,0.631578947,0.473684211
451.arff,0.787878788,0.787878788,0.757575758,0.787878788,0.757575758,0.787878788,0.787878788,0.787878788,0.787878788,0.787878788,0.787878788,0.787878788,0.787878788,0.787878788,0.818181818,0.787878788,0.636363636,0.636363636,0.787878788,0.787878788,0.787878788,0.787878788,0.515151515,0.515151515,0.787878788,0.787878788,0.757575758,0.727272727,0.787878788,0.727272727,0.787878788,0.757575758
452.arff,0.818181818,1,1,1,1,1,1,1,1,1,0.818181818,0.818181818,1,1,1,1,1,1,1,1,0.545454545,0.545454545,0.545454545,0.545454545,0.636363636,0.636363636,1,0.545454545,1,1,0.909090909,1
453.arff,0.985654789,1,0.998149005,0.996760759,0.993058769,0.999537251,0.960666358,0.960666358,0.960203609,0.960203609,0.453031004,0.979639056,0.995835261,1,0.997686256,0.998149005,0.8907913,0.8907913,0.692272096,0.936603424,0.841739935,0.841739935,0.692272096,0.692272096,0.692272096,0.692272096,1,1,1,1,0.999074503,1
454.arff,0.917431193,0.935779817,0.935779817,0.917431193,0.935779817,0.935779817,0.935779817,0.935779817,0.935779817,0.935779817,0.917431193,0.917431193,0.935779817,0.935779817,0.899082569,0.917431193,0.889908257,0.889908257,0.917431193,0.917431193,0.880733945,0.880733945,0.899082569,0.899082569,0.633027523,0.633027523,0.926605505,0.935779817,0.944954128,0.935779817,0.926605505,0.926605505
455.arff,0.955645161,0.991935484,0.923387097,0.959677419,0.923387097,0.947580645,0.951612903,0.955645161,0.943548387,0.943548387,1,1,0.967741935,0.971774194,0.995967742,0.995967742,0.491935484,0.887096774,0.939516129,0.967741935,0.907258065,0.907258065,0.887096774,0.879032258,0.907258065,0.907258065,0.991935484,0.955645161,0.991935484,0.951612903,0.97983871,1
456.arff,0.87,0.97,0.25,0.17,0.88,0.88,0.88,0.87,0.88,0.88,0.91,0.91,0.88,1,0.85,0.87,0.68,0.74,0.93,0.93,0.87,0.87,0.84,0.89,0.88,0.88,1,0.92,0.93,0.92,0.87,0.97
457.arff,0.8368,0.832,0.852,0.8384,0.796,0.84,0.8472,0.8456,0.852,0.852,0.816,0.816,0.84,0.8448,0.8464,0.8688,0.8488,0.8488,0.8672,0.8672,0.6256,0.6256,0.8504,0.8504,0.6256,0.6256,0.808,0.7544,0.8768,0.76,0.8944,0.8984
458.arff,0.75,0.625,0.5625,0.5625,0.75,0.625,0.75,0.75,0.5625,0.5625,0.5625,0.625,0.75,0.625,0.75,0.5625,0.6875,0.6875,0.75,0.75,0.625,0.625,0.6875,0.6875,0.75,0.75,0.8125,0.6875,0.625,0.5625,0.8125,0.75
459.arff,0.857664234,0.855231144,0.838807786,0.813260341,0.830291971,0.858272506,0.852798054,0.851581509,0.854014599,0.854014599,0.839416058,0.839416058,0.853406326,0.856447689,0.827858881,0.839416058,0.813260341,0.813260341,0.819343066,0.819343066,0.7256691,0.7256691,0.729318735,0.729318735,0.561435523,0.561435523,0.809610706,0.821776156,0.871654501,0.835158151,0.864355231,0.871654501
460.arff,0.833333333,0.916666667,0.5,0.75,0.916666667,0.583333333,0.75,0.75,0.5,0.5,0.333333333,0.75,0.833333333,0.916666667,0.75,0.666666667,0.833333333,0.666666667,0.75,0.75,0.916666667,0.916666667,0.916666667,0.916666667,0.583333333,0.583333333,0.833333333,0.833333333,0.916666667,0.833333333,0.916666667,0.666666667
461.arff,1,0.955555556,0.933333333,1,1,1,1,1,1,1,0.955555556,0.955555556,1,0.955555556,0.977777778,0.977777778,0.977777778,0.977777778,0.955555556,0.955555556,0.822222222,0.822222222,0.866666667,0.866666667,0.688888889,0.688888889,0.911111111,0.866666667,0.977777778,0.933333333,0.977777778,1
462.arff,0.510204082,0.551020408,0.448979592,0.367346939,0.367346939,0.448979592,0.571428571,0.448979592,0.489795918,0.510204082,0.510204082,0.510204082,0.591836735,0.571428571,0.571428571,0.510204082,0.551020408,0.510204082,0.612244898,0.612244898,0.408163265,0.408163265,0.734693878,0.734693878,0.387755102,0.387755102,0.510204082,0.367346939,0.448979592,0.367346939,0.591836735,0.551020408
464.arff,0.846153846,0.692307692,0.692307692,0.846153846,0.538461538,0.461538462,0.846153846,0.846153846,0.692307692,0.692307692,0.692307692,0.923076923,0.846153846,0.846153846,0.846153846,0.846153846,0.846153846,0.846153846,0.692307692,0.769230769,0.538461538,0.615384615,0.846153846,0.846153846,0.461538462,0.461538462,0.769230769,0.615384615,0.923076923,0.769230769,0.846153846,0.692307692
466.arff,1,0.961538462,1,1,0.961538462,0.961538462,1,1,0.961538462,0.961538462,0.961538462,1,1,0.961538462,0.653846154,0.923076923,0.5,0.923076923,0.961538462,0.961538462,1,1,1,1,1,1,1,1,1,1,0.615384615,1
