dataset,LogisticRegression()-HO,LogisticRegression()+HO,Perceptron()-HO,Perceptron()+HO,PassiveAggressiveClassifier()-HO,PassiveAggressiveClassifier()+HO,RidgeClassifier()-HO,RidgeClassifier()+HO,LinearDiscriminantAnalysis()-HO,LinearDiscriminantAnalysis()+HO,QuadraticDiscriminantAnalysis()-HO,QuadraticDiscriminantAnalysis()+HO,LinearSVC()-HO,LinearSVC()+HO,KNeighborsClassifier()-HO,KNeighborsClassifier()+HO,NearestCentroid()-HO,NearestCentroid()+HO,GaussianNB()-HO,GaussianNB()+HO,MultinomialNB()-HO,MultinomialNB()+HO,ComplementNB()-HO,ComplementNB()+HO,BernoulliNB()-HO,BernoulliNB()+HO,DecisionTreeClassifier()-HO,DecisionTreeClassifier()+HO,RandomForestClassifier()-HO,RandomForestClassifier()+HO,MLPWrapper()-HO,MLPWrapper()+HO
356.arff,0.933333333,0.866666667,0.733333333,0.733333333,0.8,0.866666667,0.866666667,0.866666667,0.866666667,0.866666667,0.6,0.866666667,0.866666667,0.866666667,0.866666667,0.8,0.866666667,0.866666667,0.866666667,0.866666667,0.866666667,0.866666667,0.866666667,0.866666667,0.533333333,0.533333333,0.533333333,0.466666667,0.6,0.8,0.866666667,0.866666667
357.arff,0.869565217,0.869565217,0.217391304,0.869565217,0.826086957,0.869565217,0.869565217,0.869565217,0.869565217,0.869565217,0.826086957,0.869565217,0.869565217,0.869565217,0.826086957,0.826086957,0.391304348,0.391304348,0.826086957,0.869565217,0.869565217,0.869565217,0.434782609,0.434782609,0.869565217,0.869565217,0.652173913,0.869565217,0.869565217,0.869565217,0.826086957,0.826086957
358.arff,0.823529412,0.835294118,0.823529412,0.494117647,0.811764706,0.823529412,0.835294118,0.835294118,0.858823529,0.858823529,0.776470588,0.823529412,0.847058824,0.835294118,0.8,0.823529412,0.623529412,0.752941176,0.811764706,0.847058824,0.788235294,0.788235294,0.694117647,0.694117647,0.847058824,0.847058824,0.858823529,0.752941176,0.870588235,0.752941176,0.870588235,0.823529412
359.arff,0.92,1,0.86,0.66,0.98,1,1,1,1,1,1,1,1,1,0.84,0.98,0.54,0.54,0.6,0.58,0.76,0.76,0.6,0.6,0.42,0.42,0.8,0.76,0.96,0.78,0.98,1
360.arff,0.703703704,0.703703704,0.444444444,0.425925926,0.518518519,0.462962963,0.685185185,0.685185185,0.703703704,0.703703704,0.685185185,0.685185185,0.685185185,0.703703704,0.851851852,0.833333333,0.537037037,0.740740741,0.611111111,0.685185185,0.685185185,0.685185185,0.518518519,0.481481481,0.685185185,0.685185185,0.777777778,0.685185185,0.87037037,0.796296296,0.703703704,0.740740741
361.arff,0.841269841,0.825396825,0.714285714,0.587301587,0.80952381,0.825396825,0.825396825,0.825396825,0.825396825,0.825396825,0.80952381,0.80952381,0.825396825,0.825396825,0.793650794,0.841269841,0.857142857,0.857142857,0.793650794,0.793650794,0.476190476,0.476190476,0.619047619,0.619047619,0.476190476,0.476190476,0.761904762,0.714285714,0.777777778,0.825396825,0.80952381,0.857142857
362.arff,0.6,0.6,0.7,0.7,0.6,0.7,0.5,0.4,0.6,0.6,0.8,0.9,0.5,0.3,0.3,0.5,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.3,0.5,0.5,0.4,0.5,0.6,0.6
363.arff,0.625,0.6875,0.6875,0.6875,0.3125,0.625,0.6875,0.625,0.6875,0.6875,0.3125,0.8125,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.75,0.6875,0.625,0.75,0.75,0.75,0.75,0.8125,0.8125,0.875,0.875,0.625,0.6875
364.arff,0.651367188,0.657714844,0.497070313,0.647460938,0.523925781,0.657226563,0.652832031,0.653320313,0.652832031,0.652832031,0.601074219,0.650878906,0.652832031,0.657714844,0.598632813,0.636230469,0.653808594,0.661621094,0.647460938,0.651367188,0.65625,0.65625,0.651367188,0.651367188,0.505371094,0.505371094,0.831054688,0.505371094,0.872070313,0.870605469,0.832519531,0.875
365.arff,0.831054688,0.830566406,0.750976563,0.691894531,0.65625,0.829589844,0.831054688,0.830078125,0.831054688,0.831054688,0.836425781,0.828613281,0.831054688,0.83203125,0.785644531,0.80859375,0.828613281,0.828613281,0.834960938,0.833984375,0.754882813,0.754882813,0.752441406,0.752441406,0.499511719,0.499511719,0.760253906,0.781738281,0.838867188,0.788574219,0.845214844,0.833496094
366.arff,0.9,0.9,0.88,0.68,0.84,0.92,0.9,0.88,0.9,0.9,0.9,0.9,0.9,0.8,0.86,0.88,0.9,0.9,0.9,0.9,0.88,0.88,0.88,0.88,0.84,0.84,0.86,0.88,0.84,0.88,0.9,0.88
367.arff,0.789473684,0.894736842,0.789473684,0.842105263,0.894736842,0.894736842,0.894736842,0.894736842,0.947368421,0.947368421,0.631578947,0.631578947,0.947368421,0.842105263,0.789473684,0.684210526,0.736842105,0.789473684,0.631578947,0.736842105,0.684210526,0.684210526,0.473684211,0.473684211,0.684210526,0.684210526,0.631578947,0.736842105,0.736842105,0.684210526,0.842105263,0.631578947
369.arff,0.769230769,0.923076923,0.923076923,0.923076923,0.923076923,0.923076923,0.923076923,0.769230769,0.923076923,0.923076923,0.923076923,0.846153846,0.923076923,0.923076923,0.846153846,0.923076923,0.923076923,0.846153846,0.923076923,0.923076923,0.769230769,0.769230769,0.846153846,0.846153846,0.538461538,0.538461538,0.923076923,0.923076923,0.923076923,0.923076923,0.923076923,1
370.arff,0.823529412,0.941176471,0.823529412,0.823529412,0.882352941,0.882352941,0.882352941,0.882352941,0.882352941,0.882352941,0.882352941,0.882352941,0.882352941,0.941176471,0.882352941,0.882352941,0.882352941,0.941176471,0.882352941,0.882352941,0.647058824,0.647058824,0.588235294,0.588235294,0.352941176,0.352941176,0.941176471,0.764705882,0.941176471,0.941176471,0.941176471,0.941176471
371.arff,0.9,1,0.9,0.9,0.9,0.9,1,1,1,1,1,0.9,1,1,1,1,0.9,0.9,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.9,0.9,0.9,0.9,0.9,1
372.arff,0.388888889,0.444444444,0.333333333,0.444444444,0.666666667,0.333333333,0.444444444,0.388888889,0.444444444,0.444444444,0.555555556,0.388888889,0.5,0.5,0.444444444,0.388888889,0.5,0.5,0.5,0.5,0.333333333,0.333333333,0.5,0.5,0.388888889,0.388888889,0.333333333,0.611111111,0.444444444,0.5,0.5,0.5
373.arff,0.538461538,0.615384615,0.615384615,0.615384615,0.692307692,0.769230769,0.538461538,0.538461538,0.615384615,0.615384615,0.538461538,0.615384615,0.615384615,0.692307692,0.538461538,0.461538462,0.692307692,0.615384615,0.615384615,0.615384615,0.461538462,0.461538462,0.538461538,0.538461538,0.461538462,0.461538462,0.538461538,0.615384615,0.615384615,0.538461538,0.538461538,0.692307692
374.arff,0.933333333,0.933333333,0.833333333,0.933333333,0.9,0.933333333,0.933333333,0.933333333,0.933333333,0.933333333,0.966666667,0.966666667,0.933333333,0.933333333,0.966666667,0.966666667,0.933333333,0.933333333,0.933333333,0.933333333,0.6,0.6,0.8,0.8,0.6,0.6,0.966666667,0.933333333,1,1,0.866666667,0.966666667
375.arff,0.916666667,1,0.916666667,0.916666667,0.916666667,0.916666667,0.916666667,0.916666667,1,1,0.916666667,1,0.916666667,1,0.916666667,0.916666667,0.916666667,0.916666667,0.833333333,0.916666667,0.916666667,0.916666667,0.916666667,0.916666667,0.916666667,0.916666667,0.833333333,0.833333333,0.833333333,0.833333333,1,0.833333333
376.arff,0.712121212,0.696969697,0.651515152,0.5,0.666666667,0.681818182,0.696969697,0.696969697,0.681818182,0.681818182,0.712121212,0.712121212,0.696969697,0.727272727,0.939393939,0.924242424,0.606060606,0.575757576,0.681818182,0.696969697,0.606060606,0.606060606,0.590909091,0.575757576,0.590909091,0.590909091,0.878787879,0.878787879,0.909090909,0.863636364,0.727272727,0.863636364
377.arff,0.834645669,0.866141732,0.850393701,0.779527559,0.826771654,0.826771654,0.818897638,0.818897638,0.834645669,0.834645669,0.897637795,0.897637795,0.866141732,0.874015748,0.850393701,0.88976378,0.811023622,0.842519685,0.834645669,0.818897638,0.755905512,0.755905512,0.826771654,0.826771654,0.535433071,0.535433071,0.803149606,0.842519685,0.850393701,0.858267717,0.842519685,0.850393701
378.arff,0.916666667,0.944444444,0.888888889,0.888888889,0.861111111,0.888888889,0.888888889,0.944444444,0.888888889,0.888888889,0.333333333,0.916666667,0.888888889,0.944444444,0.916666667,0.944444444,0.888888889,0.888888889,0.916666667,0.916666667,0.666666667,0.666666667,0.333333333,0.333333333,0.666666667,0.666666667,0.944444444,0.944444444,0.944444444,0.944444444,0.888888889,0.944444444
380.arff,0.666666667,0.666666667,0.166666667,0.166666667,0.666666667,0.75,0.666666667,0.666666667,0.666666667,0.666666667,0.833333333,0.5,0.666666667,0.666666667,0.583333333,0.75,0.666666667,0.666666667,0.666666667,0.666666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.833333333,0.5,0.833333333,0.666666667,0.666666667,0.666666667
381.arff,0.535714286,0.464285714,0.571428571,0.571428571,0.464285714,0.428571429,0.464285714,0.5,0.464285714,0.464285714,0.5,0.5,0.464285714,0.5,0.392857143,0.464285714,0.5,0.5,0.464285714,0.5,0.5,0.5,0.5,0.5,0.464285714,0.464285714,0.607142857,0.642857143,0.678571429,0.75,0.607142857,0.535714286
382.arff,1,0.9,0.3,0.1,1,0.5,0.9,0.8,0.8,0.7,0.5,0.9,0.9,0.9,0.7,0.6,0.2,0.2,0.4,0.7,1,1,0.3,0.3,1,1,0.6,0.8,0.7,0.8,0.8,0.5
383.arff,0.980968858,0.996539792,0.991349481,0.98615917,0.996539792,0.996539792,0.982698962,0.982698962,0.974048443,0.974048443,0.994809689,0.994809689,0.991349481,0.996539792,0.987889273,0.998269896,0.634948097,0.634948097,0.833910035,0.863321799,0.863321799,0.863321799,0.581314879,0.581314879,0.863321799,0.863321799,0.975778547,0.975778547,0.996539792,0.98615917,0.996539792,0.996539792
384.arff,0.541666667,0.548611111,0.548611111,0.583333333,0.534722222,0.583333333,0.541666667,0.590277778,0.541666667,0.541666667,0.583333333,0.597222222,0.541666667,0.569444444,0.625,0.6875,0.5625,0.576388889,0.618055556,0.597222222,0.604166667,0.604166667,0.527777778,0.520833333,0.5625,0.5625,0.715277778,0.590277778,0.708333333,0.590277778,0.659722222,0.645833333
385.arff,0.928571429,1,0.928571429,0.952380952,1,0.952380952,1,0.976190476,1,1,0.19047619,0.976190476,1,1,0.952380952,0.952380952,0.666666667,0.666666667,0.928571429,0.928571429,0.80952381,0.80952381,0.928571429,0.928571429,0.928571429,0.928571429,0.928571429,0.928571429,0.928571429,0.928571429,0.952380952,0.952380952
386.arff,0.5,0.8,0.4,0.4,0.6,0.8,0.6,0.7,0.8,0.8,0.7,0.7,0.7,0.7,0.7,0.9,0.4,0.4,0.8,0.8,0.6,0.6,0.6,0.6,0.9,0.9,0.9,1,0.9,1,0.6,0.8
388.arff,0.928571429,0.785714286,0.571428571,0.714285714,0.857142857,0.857142857,0.857142857,0.857142857,0.785714286,0.785714286,0.928571429,0.928571429,0.857142857,0.785714286,0.928571429,0.642857143,0.928571429,0.928571429,0.785714286,0.857142857,0.642857143,0.642857143,0.5,0.5,0.785714286,0.785714286,0.5,0.5,0.642857143,0.714285714,0.928571429,0.642857143
389.arff,0.333333333,0.333333333,0.555555556,0.333333333,0.444444444,0.333333333,0.555555556,0.333333333,0.555555556,0.555555556,0.555555556,0.333333333,0.444444444,0.333333333,0.555555556,0.333333333,0.666666667,0.666666667,0.444444444,0.333333333,0.333333333,0.333333333,0.555555556,0.555555556,0.444444444,0.444444444,0.555555556,0.333333333,0.444444444,0.333333333,0.444444444,0.333333333
390.arff,0.923076923,0.923076923,1,0.846153846,1,0.923076923,0.923076923,0.923076923,0.923076923,0.923076923,0.846153846,0.923076923,0.923076923,0.846153846,0.846153846,0.923076923,0.923076923,0.923076923,0.923076923,0.923076923,0.923076923,0.923076923,1,1,0.461538462,0.461538462,0.846153846,0.923076923,0.923076923,0.923076923,0.923076923,0.846153846
391.arff,0.75,0.875,0.791666667,0.75,0.666666667,0.791666667,0.791666667,0.791666667,0.791666667,0.791666667,0.75,0.75,0.791666667,0.833333333,0.666666667,0.666666667,0.625,0.666666667,0.708333333,0.708333333,0.791666667,0.791666667,0.708333333,0.708333333,0.666666667,0.666666667,0.75,0.75,0.75,0.75,0.791666667,0.833333333
392.arff,0.409090909,0.409090909,0.590909091,0.409090909,0.727272727,0.590909091,0.454545455,0.454545455,0.454545455,0.454545455,0.727272727,0.727272727,0.454545455,0.409090909,0.681818182,0.863636364,0.545454545,0.545454545,0.636363636,0.681818182,0.409090909,0.409090909,0.545454545,0.545454545,0.409090909,0.409090909,0.772727273,0.863636364,0.863636364,0.909090909,0.5,0.818181818
393.arff,0.675675676,0.648648649,0.540540541,0.486486486,0.675675676,0.648648649,0.702702703,0.675675676,0.702702703,0.702702703,0.72972973,0.621621622,0.702702703,0.675675676,0.594594595,0.648648649,0.621621622,0.675675676,0.702702703,0.702702703,0.540540541,0.540540541,0.567567568,0.567567568,0.567567568,0.648648649,0.540540541,0.72972973,0.702702703,0.72972973,0.72972973,0.702702703
