Metadataset,RandomForest,LogisticRegression,SVC,KNeighbors,GaussianNB,DecisionTree,AdaBoost,GradientBoosting,MLP,Bagging,ExtraTrees,Voting
info-theory_metadataset.csv,0.39354754440961337,0.37291013584117033,0.38670323928944617,0.237957157784744,0.22873563218390802,0.26076280041797284,0.27936259143155695,0.33871473354231973,0.3730407523510972,0.35258620689655173,0.361546499477534,0.39605538140020896
relative_metadataset.csv,0.41913926757551456,0.32480620155038764,0.3869820903501738,0.23031275060144346,0.3201550387596899,0.29730018711574446,0.387142475273991,0.31804330392943064,0.3869553595295375,0.26268377439187385,0.32253408179631116,0.377759957230687
general_metadataset.csv,0.4233019853709509,0.3683908045977011,0.40734064785788926,0.27902298850574714,0.17392894461859978,0.347884012539185,0.2332027168234065,0.2906478578892372,0.3866771159874608,0.32489550679205853,0.37769070010449324,0.3913531870428423
complexity_metadataset.csv,0.39669753086419757,0.240679012345679,0.37191358024691357,0.3227777777777777,0.21089506172839503,0.3275617283950617,0.3767283950617284,0.37709876543209875,0.36450617283950615,0.36959876543209874,0.42666666666666664,0.4413888888888889
default_metadataset.csv,0.36853782411120023,0.25592087677091685,0.39617749264902435,0.29959903769045715,0.23290564020315424,0.3295642876236301,0.2948944132584871,0.31095963646083935,0.14520181769580326,0.4054263565891473,0.44006950013365415,0.4262229350441058
d2v_pretrained_metadaset.csv,0.36841692789968655,0.3364420062695925,0.37298850574712644,0.28618077324973873,0.1463166144200627,0.2929205851619645,0.20807210031347964,0.30660919540229886,0.16434169278996866,0.2953239289446186,0.28845350052246604,0.32951933124346916
concept_metadataset.csv,0.3541269841269841,0.3153968253968254,0.36650793650793656,0.3158730158730159,0.32126984126984126,0.24793650793650795,0.35444444444444445,0.23126984126984124,0.39380952380952383,0.30476190476190473,0.33793650793650787,0.36031746031746037
model-based_metadataset.csv,0.36536838688737416,0.2504381694255112,0.4065238558909445,0.2836741317753976,0.1996429730606946,0.2915936384290815,0.2502758844530996,0.24008438818565397,0.17633885102239533,0.3219733852645245,0.3679974034404414,0.34245374878286267
clustering_metadataset.csv,0.39012311901504787,0.36432284541723664,0.3831190150478796,0.2779753761969904,0.17080711354309167,0.3036388508891929,0.2986320109439125,0.3059917920656635,0.38073871409028726,0.3246511627906977,0.37143638850889193,0.39939808481532146
landmarking_metadataset.csv,0.39385191125367547,0.39617749264902435,0.39385191125367547,0.31331194867682444,0.32943063352044905,0.3040363539160652,0.3823576583801123,0.343090082865544,0.3317829457364341,0.3547179898422882,0.37302860197808074,0.412296177492649
statistical_metadataset.csv,0.3866771159874608,0.2536050156739812,0.36831243469174507,0.24012539184952977,0.249085684430512,0.3111546499477534,0.3364942528735632,0.3272466039707419,0.2308516196447231,0.3159613375130617,0.372962382445141,0.3821316614420063
itemset_metadataset.csv,0.2981191222570533,0.38283699059561127,0.38746081504702196,0.28443051201671893,0.3053030303030303,0.2775078369905956,0.26603970741901783,0.2957941483803553,0.3851619644723093,0.28905433646812956,0.2935736677115988,0.35556426332288404
all_metadataset.csv,0.3856012658227848,0.22829113924050634,0.37325949367088607,0.2581962025316456,0.24072784810126585,0.3282594936708861,0.2957911392405063,0.29322784810126584,0.15550632911392404,0.3683227848101266,0.39341772151898735,0.37325949367088607
