,Metadataset,RandomForest,LogisticRegression,SVC,KNeighbors,GaussianNB,DecisionTree,AdaBoost,GradientBoosting,MLP,Bagging,ExtraTrees,Voting
0,concept_metadataset.csv,0.351271186440678,0.3327627118644068,0.4004915254237288,0.286,0.2821694915254237,0.3176271186440678,0.3204745762711865,0.27005084745762714,0.37155932203389824,0.32691525423728807,0.3464237288135593,0.3590847457627118
1,clustering_metadataset.csv,0.4007887323943662,0.359330985915493,0.39492957746478874,0.3117535211267606,0.20498591549295775,0.3395633802816902,0.36511267605633807,0.31871830985915495,0.3816830985915493,0.3717957746478874,0.3846338028169014,0.40607042253521125
2,all_metadataset.csv,0.4063787878787879,0.2702954545454545,0.373719696969697,0.28943939393939394,0.2426060606060606,0.3368863636363637,0.3582575757575758,0.3038863636363636,0.15815151515151518,0.3783333333333333,0.423280303030303,0.41395454545454546
3,general_metadataset.csv,0.43071724137931033,0.3884758620689655,0.41504137931034485,0.3337724137931035,0.19840689655172414,0.3528344827586207,0.32055172413793104,0.35260689655172417,0.38413103448275865,0.37981379310344826,0.3904551724137931,0.4182275862068966
4,model-based_metadataset.csv,0.41194615384615396,0.2545846153846154,0.4057692307692308,0.2743384615384615,0.2702230769230769,0.3445615384615384,0.3739384615384615,0.31903846153846155,0.1783923076923077,0.38247692307692305,0.4107384615384616,0.4207153846153847
5,landmarking_metadataset.csv,0.3836388888888889,0.3876736111111111,0.3839583333333333,0.3660069444444445,0.35706944444444444,0.33650694444444446,0.36240972222222223,0.2812986111111111,0.3832361111111111,0.3765416666666666,0.4101458333333334,0.4085625
6,itemset_metadataset.csv,0.3681597222222222,0.39255555555555555,0.3856666666666666,0.30735416666666665,0.3192708333333334,0.3322638888888889,0.25027083333333333,0.3269166666666667,0.3885138888888889,0.3357013888888889,0.3413888888888889,0.3706527777777778
7,complexity_metadataset.csv,0.40657142857142853,0.2501578947368421,0.3704436090225564,0.35851127819548867,0.22357894736842104,0.34197744360902255,0.36405263157894735,0.3587293233082706,0.3624360902255639,0.3870827067669173,0.41232330827067665,0.41391729323308274
8,info-theory_metadataset.csv,0.39107586206896555,0.3795448275862069,0.39423448275862066,0.29835862068965513,0.27253793103448276,0.3326965517241379,0.33777931034482767,0.3405448275862069,0.3848758620689655,0.36604137931034486,0.38619310344827584,0.40108275862068965
9,d2v_pretrained_metadaset.csv,0.3760275862068966,0.31041379310344824,0.3736206896551724,0.28551724137931034,0.18964137931034486,0.29098620689655175,0.3041241379310345,0.3210827586206897,0.16444827586206895,0.3110275862068966,0.30151724137931035,0.35019310344827587
10,default_metadataset.csv,0.4037986111111111,0.2717083333333334,0.3945625,0.30975,0.23664583333333333,0.3550416666666667,0.36394444444444446,0.32450694444444445,0.1426041666666667,0.40032638888888894,0.44431944444444443,0.4339791666666667
11,statistical_metadataset.csv,0.3835103448275862,0.25362068965517237,0.3807862068965517,0.2925103448275862,0.25157931034482756,0.31335172413793105,0.3474758620689655,0.3018,0.2286758620689655,0.34311034482758623,0.3533310344827586,0.3805241379310345
12,relative_metadataset.csv,0.41847222222222225,0.3794513888888889,0.4065763888888889,0.28765277777777776,0.36479861111111106,0.30511805555555555,0.35614583333333333,0.3206875,0.37238194444444445,0.3448263888888889,0.3905208333333334,0.41880555555555554
