dataset,best_node.mean.relative,best_node.sd.relative,elite_nn.mean.relative,elite_nn.sd.relative,linear_discr.mean.relative,linear_discr.sd.relative,naive_bayes.mean.relative,naive_bayes.sd.relative,one_nn.mean.relative,one_nn.sd.relative,random_node.mean.relative,random_node.sd.relative,worst_node.mean.relative,worst_node.sd.relative
183,2.0,2.0,4.0,6.0,6.0,5.0,7.0,4.0,5.0,7.0,2.0,2.0,2.0,2.0
184,2.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,1.0,1.0,7.0,7.0
185,6.0,2.0,3.0,6.0,7.0,3.0,5.0,4.0,4.0,1.0,2.0,5.0,1.0,7.0
186,5.0,5.0,3.0,7.0,7.0,3.0,6.0,4.0,4.0,2.0,2.0,6.0,1.0,1.0
187,2.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,1.0,1.0,7.0,7.0
188,5.0,4.0,1.0,7.0,7.0,3.0,6.0,2.0,4.0,6.0,2.0,5.0,3.0,1.0
189,5.0,2.0,1.0,6.0,4.0,3.0,6.0,1.0,3.0,7.0,2.0,5.0,7.0,4.0
190,3.0,1.0,1.0,2.0,7.0,6.0,6.0,5.0,2.0,3.0,5.0,4.0,4.0,7.0
191,6.5,1.5,6.5,1.5,5.0,4.0,3.0,7.0,4.0,5.0,1.0,6.0,2.0,3.0
192,1.0,5.0,2.0,3.0,7.0,6.0,6.0,4.0,4.0,2.0,3.0,1.0,5.0,7.0
193,3.0,4.0,6.0,1.0,5.0,7.0,1.0,6.0,4.0,3.0,7.0,2.0,2.0,5.0
194,1.0,4.0,4.0,2.0,5.0,7.0,3.0,6.0,2.0,5.0,7.0,3.0,6.0,1.0
195,1.0,1.0,4.0,3.0,7.0,7.0,6.0,2.0,3.0,6.0,5.0,5.0,2.0,4.0
196,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,7.0,7.0
197,5.0,4.0,4.0,5.0,7.0,2.0,3.0,7.0,6.0,3.0,2.0,6.0,1.0,1.0
198,6.0,5.0,2.0,7.0,7.0,3.0,4.0,6.0,1.0,2.0,5.0,4.0,3.0,1.0
199,7.0,6.0,6.0,3.0,3.0,7.0,5.0,4.0,4.0,5.0,1.0,1.0,2.0,2.0
200,2.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,1.0,1.0,7.0,7.0
201,6.0,4.0,4.0,3.0,5.0,5.0,2.0,7.0,7.0,2.0,1.0,1.0,3.0,6.0
202,7.0,4.0,5.0,7.0,4.0,5.0,6.0,3.0,1.0,6.0,2.0,2.0,3.0,1.0
203,2.0,4.0,3.0,3.0,7.0,5.0,6.0,6.0,1.0,7.0,4.5,1.5,4.5,1.5
204,4.0,6.0,3.0,7.0,6.0,3.0,7.0,1.0,5.0,4.0,2.0,2.0,1.0,5.0
205,4.0,6.0,2.0,1.0,6.0,2.0,7.0,3.0,5.0,4.0,3.0,7.0,1.0,5.0
206,5.0,7.0,3.0,5.0,6.0,4.0,7.0,2.0,4.0,6.0,2.0,1.0,1.0,3.0
207,4.0,1.0,2.0,4.0,5.0,5.0,7.0,6.0,6.0,2.0,3.0,3.0,1.0,7.0
208,5.0,3.0,3.0,5.0,6.0,1.0,7.0,2.0,4.0,7.0,2.0,4.0,1.0,6.0
209,1.0,1.0,3.0,4.0,6.0,5.0,7.0,6.0,5.0,2.0,4.0,7.0,2.0,3.0
210,3.0,5.0,5.0,4.0,7.0,2.0,6.0,7.0,4.0,6.0,2.0,1.0,1.0,3.0
211,4.0,6.0,2.0,3.0,5.0,4.0,7.0,2.0,6.0,7.0,1.0,1.0,3.0,5.0
212,2.0,6.0,1.0,7.0,5.0,1.0,7.0,5.0,6.0,2.0,3.5,3.5,3.5,3.5
213,5.0,3.0,3.0,4.0,6.0,6.0,7.0,5.0,4.0,7.0,2.0,1.0,1.0,2.0
214,5.0,1.0,4.0,2.0,6.0,4.0,7.0,6.0,3.0,7.0,2.0,5.0,1.0,3.0
215,4.0,5.0,2.0,2.0,5.0,1.0,7.0,3.0,6.0,4.0,3.0,7.0,1.0,6.0
216,5.0,4.0,4.0,6.0,7.0,5.0,6.0,3.0,3.0,7.0,1.0,2.0,2.0,1.0
217,4.0,2.0,3.0,3.0,6.0,4.0,7.0,7.0,5.0,5.5,2.0,5.5,1.0,1.0
218,5.0,5.0,3.0,7.0,6.0,2.0,7.0,4.0,4.0,6.0,2.0,1.0,1.0,3.0
219,4.0,3.0,3.0,1.0,6.0,5.0,7.0,4.0,5.0,2.0,2.0,6.0,1.0,7.0
220,5.0,4.0,4.0,6.0,7.0,3.0,6.0,5.0,3.0,7.0,2.0,2.0,1.0,1.0
221,7.0,4.0,4.0,7.0,2.0,6.0,3.0,5.0,5.0,3.0,6.0,2.0,1.0,1.0
222,6.0,4.0,7.0,7.0,5.0,5.0,4.0,6.0,3.0,3.0,2.0,2.0,1.0,1.0
223,4.5,2.5,6.0,5.0,2.0,6.0,3.0,7.0,7.0,4.0,4.5,2.5,1.0,1.0
224,7.0,7.0,6.0,3.0,4.0,6.0,5.0,5.0,3.0,4.0,1.0,1.0,2.0,2.0
225,6.0,6.0,7.0,3.0,3.0,5.0,5.0,4.0,4.0,7.0,1.0,2.0,2.0,1.0
226,6.5,4.5,5.0,2.0,3.0,6.0,4.0,3.0,2.0,7.0,6.5,4.5,1.0,1.0
227,6.5,4.0,3.0,1.0,4.0,7.0,6.5,3.0,5.0,5.0,2.0,2.0,1.0,6.0
228,6.0,3.0,7.0,2.0,5.0,5.0,2.5,7.0,4.0,6.0,2.5,1.0,1.0,4.0
229,7.0,7.0,5.0,6.0,3.0,5.0,4.0,3.0,6.0,4.0,2.0,1.0,1.0,2.0
230,6.0,3.0,7.0,5.0,4.0,7.0,5.0,6.0,3.0,4.0,1.0,2.0,2.0,1.0
231,5.0,6.0,6.0,7.0,3.0,5.0,4.0,3.0,7.0,4.0,1.0,1.0,2.0,2.0
232,7.0,5.0,6.0,4.0,4.0,7.0,5.0,6.0,3.0,3.0,1.0,2.0,2.0,1.0
233,6.5,6.0,6.5,3.0,3.0,5.0,4.0,7.0,5.0,4.0,2.0,1.0,1.0,2.0
234,7.0,4.0,4.0,7.0,5.0,3.0,6.0,5.5,3.0,5.5,2.0,1.0,1.0,2.0
235,5.5,2.5,3.0,4.0,2.0,7.0,4.0,6.0,7.0,5.0,5.5,2.5,1.0,1.0
236,7.0,1.0,6.0,7.0,4.0,3.0,5.0,4.0,3.0,6.0,2.0,5.0,1.0,2.0
237,6.0,6.0,4.0,7.0,3.0,5.0,7.0,4.0,5.0,3.0,2.0,1.0,1.0,2.0
238,6.0,5.0,5.0,3.0,4.0,7.0,7.0,6.0,3.0,4.0,2.0,1.0,1.0,2.0
239,4.5,3.5,3.0,6.0,2.0,5.0,6.0,2.0,7.0,1.0,4.5,3.5,1.0,7.0
240,7.0,5.0,5.0,4.0,4.0,3.0,6.0,7.0,2.0,6.0,3.0,1.0,1.0,2.0
241,7.0,1.0,4.0,2.0,5.0,7.0,6.0,6.0,3.0,5.0,2.0,4.0,1.0,3.0
242,6.0,5.0,5.0,6.0,4.0,3.0,7.0,4.0,2.5,7.0,1.0,1.0,2.5,2.0
243,4.0,5.0,3.0,1.0,2.0,7.0,6.0,3.0,7.0,2.0,5.0,6.0,1.0,4.0
244,7.0,5.0,6.0,3.0,3.0,7.0,5.0,4.0,4.0,6.0,2.0,2.0,1.0,1.0
245,6.0,3.0,5.0,6.0,4.0,5.0,7.0,4.0,3.0,7.0,1.5,2.0,1.5,1.0
246,7.0,5.5,5.0,5.5,4.0,4.0,6.0,1.0,3.0,3.0,2.0,2.0,1.0,7.0
247,5.0,5.0,4.0,7.0,2.0,1.0,6.0,4.0,7.0,2.0,3.0,3.0,1.0,6.0
248,7.0,2.0,6.0,5.0,4.0,4.0,5.0,1.0,2.0,7.0,1.0,6.0,3.0,3.0
249,6.0,6.0,5.0,2.0,4.0,5.0,7.0,3.0,3.0,7.0,2.0,4.0,1.0,1.0
250,7.0,5.0,5.0,3.0,3.0,6.0,6.0,4.0,4.0,7.0,1.0,2.0,2.0,1.0
251,5.0,4.0,4.0,5.0,3.0,3.0,6.0,1.0,7.0,2.0,2.0,7.0,1.0,6.0
252,7.0,5.0,5.0,3.0,4.0,6.0,6.0,4.0,3.0,7.0,1.0,1.0,2.0,2.0
253,6.0,7.0,5.0,4.0,4.0,6.0,3.0,5.0,7.0,3.0,1.0,2.0,2.0,1.0
254,7.0,4.0,6.0,5.0,5.0,7.0,4.0,6.0,3.0,3.0,1.0,2.0,2.0,1.0
255,6.0,6.0,5.0,7.0,3.0,3.0,4.0,5.0,7.0,4.0,1.5,1.5,1.5,1.5
256,6.0,2.0,7.0,6.0,4.0,5.0,5.0,7.0,3.0,4.0,1.0,3.0,2.0,1.0
257,1.5,3.0,7.0,6.5,4.0,5.0,6.0,6.5,1.5,4.0,3.0,2.0,5.0,1.0
258,1.0,3.0,7.0,2.0,5.0,4.0,4.0,6.0,6.0,7.0,2.5,5.0,2.5,1.0
259,2.0,2.0,6.0,4.5,3.0,3.0,4.0,4.5,7.0,7.0,5.0,6.0,1.0,1.0
260,7.0,7.0,6.0,6.0,1.0,5.0,3.5,2.0,3.5,4.0,2.0,3.0,5.0,1.0
261,6.0,7.0,7.0,4.0,5.0,2.0,4.0,3.0,3.0,6.0,2.0,5.0,1.0,1.0
262,6.0,4.0,7.0,3.0,4.0,7.0,5.0,5.0,3.0,6.0,1.0,2.0,2.0,1.0
263,4.5,4.0,6.0,3.0,3.0,7.0,4.5,6.0,7.0,2.0,2.0,5.0,1.0,1.0
264,7.0,7.0,6.0,4.0,4.0,6.0,5.0,3.0,1.0,5.0,3.0,1.0,2.0,2.0
265,5.0,7.0,6.0,3.0,4.0,5.0,3.0,6.0,7.0,4.0,2.0,1.0,1.0,2.0
266,6.5,3.0,6.5,4.0,3.0,5.0,5.0,6.0,4.0,7.0,2.0,1.0,1.0,2.0
267,6.0,7.0,5.0,6.0,4.0,4.0,3.0,3.0,7.0,5.0,1.0,2.0,2.0,1.0
268,4.0,4.0,7.0,6.0,5.0,5.0,6.0,7.0,2.0,2.0,3.0,3.0,1.0,1.0
269,6.0,3.0,5.0,5.0,3.0,4.0,4.0,7.0,7.0,6.0,1.5,1.5,1.5,1.5
270,6.0,4.0,7.0,5.0,5.0,3.0,4.0,6.0,1.0,7.0,2.0,2.0,3.0,1.0
271,6.0,7.0,7.0,2.0,5.0,3.0,4.0,4.0,3.0,6.0,1.0,5.0,2.0,1.0
272,6.0,3.0,7.0,4.0,4.0,6.0,5.0,5.0,2.0,7.0,3.0,1.0,1.0,2.0
273,7.0,5.0,6.0,3.0,4.0,7.0,5.0,6.0,2.0,4.0,3.0,1.0,1.0,2.0
274,7.0,3.0,6.0,6.0,4.0,2.0,5.0,7.0,2.0,5.0,1.0,1.0,3.0,4.0
275,5.0,5.0,4.0,2.0,7.0,6.0,6.0,4.0,3.0,7.0,1.0,1.0,2.0,3.0
276,6.0,4.0,7.0,2.0,2.0,1.0,3.0,7.0,5.0,5.0,4.0,3.0,1.0,6.0
277,3.0,4.0,6.0,5.0,4.5,6.5,4.5,6.5,7.0,2.0,2.0,1.0,1.0,3.0
278,6.0,4.0,7.0,6.0,4.0,2.0,5.0,3.0,3.0,7.0,2.0,1.0,1.0,5.0
279,6.0,4.0,7.0,3.0,3.0,7.0,5.0,5.0,4.0,6.0,2.0,1.0,1.0,2.0
280,7.0,3.0,6.0,5.0,4.0,7.0,5.0,6.0,3.0,4.0,1.0,2.0,2.0,1.0
281,3.0,6.0,6.0,1.0,4.0,4.0,5.0,7.0,7.0,5.0,1.0,3.0,2.0,2.0
282,6.0,6.0,7.0,7.0,4.0,4.0,5.0,5.0,1.0,2.0,3.0,3.0,2.0,1.0
283,7.0,5.0,6.0,3.0,4.5,4.0,4.5,7.0,3.0,6.0,1.5,1.0,1.5,2.0
284,6.0,7.0,7.0,6.0,5.0,4.0,4.0,3.0,3.0,5.0,2.0,2.0,1.0,1.0
285,3.5,5.5,1.0,7.0,7.0,4.0,5.0,3.0,2.0,2.0,3.5,5.5,6.0,1.0
286,6.0,5.0,1.0,7.0,5.0,3.0,2.0,6.0,7.0,4.0,3.5,1.5,3.5,1.5
287,6.5,4.0,2.0,6.0,3.0,7.0,1.0,3.0,4.0,5.0,6.5,2.0,5.0,1.0
288,4.0,4.0,1.0,7.0,7.0,3.0,2.0,5.0,3.0,6.0,5.5,1.5,5.5,1.5
289,2.0,3.0,1.0,5.0,5.0,7.0,3.0,6.0,7.0,2.0,6.0,4.0,4.0,1.0
290,2.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,1.0,1.0,7.0,7.0
291,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,7.0,7.0
292,5.0,6.0,1.0,7.0,7.0,1.0,6.0,2.0,2.0,4.0,4.0,5.0,3.0,3.0
293,2.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,1.0,1.0,7.0,7.0
294,2.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,1.0,1.0,7.0,7.0
295,6.0,5.0,5.0,4.0,7.0,3.0,4.0,7.0,1.0,6.0,2.0,2.0,3.0,1.0
296,6.0,6.0,1.0,7.0,7.0,3.0,4.0,2.0,3.0,5.0,5.0,4.0,2.0,1.0
297,6.0,4.0,1.0,7.0,7.0,5.0,3.0,6.0,4.0,2.0,5.0,3.0,2.0,1.0
298,6.0,3.0,5.0,1.0,7.0,4.0,4.0,7.0,2.0,6.0,1.0,2.0,3.0,5.0
299,6.0,7.0,4.0,4.0,7.0,5.0,3.0,6.0,5.0,3.0,1.0,1.0,2.0,2.0
300,2.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,1.0,1.0,7.0,7.0
301,1.0,3.0,2.0,7.0,6.0,2.0,7.0,1.0,3.0,4.0,4.5,5.5,4.5,5.5
302,5.5,1.5,3.5,6.5,7.0,5.0,1.5,3.5,3.5,6.5,5.5,1.5,1.5,3.5
303,1.0,3.5,2.0,6.0,6.0,2.0,7.0,3.5,4.0,1.0,3.0,5.0,5.0,7.0
304,3.0,7.0,5.0,6.0,6.0,3.0,7.0,5.0,2.0,2.0,1.0,4.0,4.0,1.0
305,2.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,1.0,1.0,7.0,7.0
306,4.0,6.0,3.0,4.0,6.0,5.0,7.0,3.0,5.0,2.0,1.0,1.0,2.0,7.0
307,4.5,3.5,4.5,3.5,4.5,3.5,4.5,3.5,4.5,3.5,4.5,3.5,1.0,7.0
308,2.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,1.0,1.0,7.0,7.0
309,2.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,1.0,1.0,7.0,7.0
311,5.5,3.5,5.5,3.5,7.0,2.0,3.0,5.0,4.0,6.0,1.0,1.0,2.0,7.0
312,6.0,2.0,2.0,7.0,4.0,4.0,1.0,6.0,3.0,5.0,6.0,2.0,6.0,2.0
313,6.0,2.0,3.0,6.0,4.0,4.0,1.0,7.0,2.0,5.0,6.0,2.0,6.0,2.0
314,4.0,7.0,1.0,4.0,6.0,5.0,7.0,3.0,5.0,6.0,2.5,1.5,2.5,1.5
315,5.0,6.0,4.0,7.0,6.0,5.0,1.0,4.0,7.0,2.0,2.5,2.0,2.5,2.0
316,5.0,3.0,1.0,6.0,4.0,1.0,3.0,4.0,6.0,5.0,7.0,7.0,2.0,2.0
317,4.0,5.0,3.0,6.0,5.0,4.0,6.0,3.0,7.0,1.0,1.0,2.0,2.0,7.0
318,1.0,6.0,2.0,1.0,7.0,3.0,5.0,5.0,6.0,4.0,4.0,2.0,3.0,7.0
319,2.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,1.0,1.0,7.0,7.0
320,3.0,2.0,1.0,7.0,5.0,5.0,6.0,6.0,7.0,4.0,3.0,2.0,3.0,2.0
321,5.0,5.0,2.0,7.0,7.0,3.0,3.0,6.0,6.0,4.0,1.0,1.0,4.0,2.0
322,6.0,5.5,1.0,1.0,6.0,4.0,4.0,7.0,3.0,3.0,6.0,5.5,2.0,2.0
323,6.0,4.0,6.0,4.0,2.0,7.0,6.0,4.0,1.0,6.0,3.5,1.5,3.5,1.5
324,6.0,1.0,4.0,2.0,7.0,3.0,5.0,7.0,3.0,4.0,1.5,5.5,1.5,5.5
325,5.0,3.0,1.0,5.0,7.0,2.0,4.0,6.0,6.0,4.0,3.0,7.0,2.0,1.0
326,3.0,6.0,1.0,4.0,6.0,2.0,7.0,1.0,4.0,5.0,5.0,3.0,2.0,7.0
327,2.0,1.0,3.0,3.0,7.0,2.0,6.0,7.0,1.0,6.0,4.5,4.5,4.5,4.5
328,2.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,1.0,1.0,7.0,7.0
329,6.0,2.0,1.0,6.0,7.0,3.0,3.0,7.0,5.0,5.0,2.0,1.0,4.0,4.0
330,4.0,5.0,3.0,6.0,6.0,3.0,5.0,4.0,7.0,1.5,2.0,1.5,1.0,7.0
331,2.0,7.0,1.0,6.0,5.0,4.0,6.0,3.0,7.0,5.0,3.5,1.5,3.5,1.5
332,5.0,3.0,3.0,5.0,6.0,6.0,7.0,2.0,4.0,4.0,1.0,7.0,2.0,1.0
334,5.0,4.0,4.0,5.0,6.0,6.0,3.0,7.0,7.0,3.0,1.5,1.5,1.5,1.5
335,5.0,6.0,1.0,5.0,4.0,4.0,2.0,3.0,3.0,7.0,6.5,1.5,6.5,1.5
336,3.0,7.0,7.0,3.0,1.0,6.0,2.0,4.0,4.0,2.0,6.0,1.0,5.0,5.0
337,1.0,4.0,5.0,3.0,3.0,5.0,2.0,2.0,7.0,7.0,4.0,1.0,6.0,6.0
338,1.0,3.0,7.0,4.0,4.0,5.0,5.0,7.0,3.0,6.0,6.0,1.0,2.0,2.0
339,5.5,2.5,5.5,2.5,7.0,4.0,4.0,7.0,3.0,1.0,1.0,5.0,2.0,6.0
340,4.0,6.0,3.0,7.0,7.0,2.0,5.0,3.0,6.0,5.0,1.0,1.0,2.0,4.0
341,6.0,6.0,3.0,5.0,7.0,4.0,5.0,3.0,4.0,7.0,1.5,1.5,1.5,1.5
342,1.0,1.0,7.0,7.0,5.0,4.0,3.0,3.0,4.0,2.0,6.0,6.0,2.0,5.0
343,6.0,3.0,3.0,6.0,7.0,5.0,5.0,4.0,4.0,7.0,2.0,1.0,1.0,2.0
344,5.5,2.5,5.5,2.5,2.0,6.0,5.5,2.5,5.5,2.5,2.0,6.0,2.0,6.0
345,4.0,2.0,2.0,6.0,6.0,5.0,1.0,7.0,7.0,4.0,4.0,2.0,4.0,2.0
346,5.0,4.0,4.0,6.0,6.0,3.0,1.0,7.0,7.0,2.0,3.0,5.0,2.0,1.0
347,4.0,6.0,1.0,4.0,3.0,5.0,7.0,1.0,5.0,7.0,6.0,3.0,2.0,2.0
348,2.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,1.0,1.0,7.0,7.0
349,2.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,1.0,1.0,7.0,7.0
350,3.0,2.0,1.0,7.0,5.0,6.0,6.0,5.0,7.0,4.0,3.0,2.0,3.0,2.0
351,7.0,5.0,2.0,6.0,3.0,7.0,1.0,3.0,6.0,4.0,4.5,1.5,4.5,1.5
352,5.0,2.0,3.0,7.0,7.0,4.0,2.0,5.0,1.0,6.0,5.0,2.0,5.0,2.0
353,3.0,2.0,5.0,7.0,2.0,5.0,6.0,4.0,7.0,6.0,1.0,3.0,4.0,1.0
354,4.0,2.0,1.0,7.0,6.0,5.0,2.0,6.0,7.0,4.0,4.0,2.0,4.0,2.0
355,5.0,2.0,7.0,7.0,1.0,5.0,2.0,4.0,6.0,6.0,3.0,3.0,4.0,1.0
356,2.0,5.0,4.5,7.0,6.0,6.0,7.0,3.0,4.5,4.0,3.0,2.0,1.0,1.0
357,5.0,4.0,4.0,6.0,3.0,1.0,1.0,5.0,2.0,7.0,6.5,2.5,6.5,2.5
358,3.5,5.5,3.5,5.5,7.0,3.0,6.0,4.0,5.0,7.0,1.0,1.0,2.0,2.0
359,3.0,3.0,2.0,4.0,7.0,1.0,5.0,7.0,6.0,6.0,1.0,2.0,4.0,5.0
360,6.0,5.0,2.0,6.0,3.0,4.0,1.0,7.0,7.0,3.0,5.0,2.0,4.0,1.0
361,4.5,7.0,3.0,3.0,7.0,1.0,4.5,2.0,6.0,4.0,1.5,5.5,1.5,5.5
362,1.0,1.0,5.0,5.0,2.0,2.0,7.0,7.0,6.0,6.0,4.0,4.0,3.0,3.0
363,3.0,5.0,5.0,7.0,4.0,4.0,6.0,6.0,7.0,3.0,2.0,1.0,1.0,2.0
364,7.0,3.0,1.0,4.0,5.0,6.0,6.0,5.0,4.0,7.0,3.0,1.0,2.0,2.0
365,4.0,6.0,3.0,7.0,6.0,4.0,7.0,3.0,5.0,5.0,1.0,2.0,2.0,1.0
366,4.0,6.0,1.0,7.0,7.0,4.0,5.0,5.0,6.0,1.0,3.0,3.0,2.0,2.0
367,3.0,5.0,4.0,3.0,6.0,2.0,1.0,7.0,7.0,1.0,2.0,6.0,5.0,4.0
368,5.0,1.0,1.0,6.0,7.0,4.0,6.0,5.0,2.0,7.0,3.5,2.5,3.5,2.5
369,6.5,1.5,6.5,1.5,5.0,3.0,4.0,4.0,3.0,5.0,1.5,6.5,1.5,6.5
370,6.0,2.0,3.0,3.0,7.0,1.0,5.0,4.0,4.0,5.0,1.0,7.0,2.0,6.0
371,5.5,2.5,5.5,2.5,2.5,6.5,2.5,6.5,5.5,2.5,5.5,2.5,1.0,5.0
372,5.5,5.0,1.0,4.0,3.0,7.0,5.5,3.0,2.0,6.0,7.0,1.0,4.0,2.0
373,5.0,3.0,6.0,5.0,7.0,6.0,4.0,7.0,2.0,4.0,1.0,2.0,3.0,1.0
374,4.0,4.0,3.0,3.0,7.0,6.0,6.0,5.0,5.0,7.0,1.5,1.5,1.5,1.5
375,5.0,5.0,1.0,6.0,7.0,1.0,6.0,2.0,2.0,7.0,3.0,3.0,4.0,4.0
376,5.0,7.0,1.0,6.0,7.0,4.0,4.0,3.0,6.0,5.0,2.0,2.0,3.0,1.0
377,7.0,7.0,4.0,4.0,6.0,3.0,5.0,5.0,3.0,2.0,2.0,1.0,1.0,6.0
378,7.0,3.0,3.5,4.5,5.0,7.0,6.0,6.0,3.5,4.5,1.5,1.5,1.5,1.5
379,7.0,4.0,5.0,2.0,6.0,5.0,4.0,3.0,3.0,1.0,1.0,6.0,2.0,7.0
380,1.5,2.5,4.5,4.5,6.5,6.5,6.5,6.5,4.5,4.5,1.5,2.5,3.0,1.0
381,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,7.0,7.0
382,7.0,3.0,5.0,6.0,6.0,5.0,4.0,4.0,1.0,7.0,2.5,1.5,2.5,1.5
383,5.0,4.0,4.0,6.0,6.0,5.0,1.0,7.0,7.0,3.0,2.5,1.5,2.5,1.5
384,7.0,7.0,4.0,3.0,3.0,6.0,1.0,4.0,2.0,5.0,5.5,1.5,5.5,1.5
385,5.0,5.0,5.0,5.0,7.0,3.0,5.0,5.0,3.0,7.0,1.5,1.5,1.5,1.5
386,5.0,5.0,6.5,1.5,3.0,6.0,4.0,7.0,6.5,1.5,1.5,3.5,1.5,3.5
388,2.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,1.0,1.0,7.0,7.0
389,7.0,6.0,6.0,7.0,4.0,3.0,1.0,4.0,3.0,2.0,2.0,1.0,5.0,5.0
390,4.0,3.0,6.0,4.5,7.0,2.0,2.5,6.0,5.0,4.5,1.0,1.0,2.5,7.0
391,6.0,4.0,4.0,6.0,7.0,7.0,5.0,2.0,3.0,5.0,1.0,3.0,2.0,1.0
392,5.0,6.0,6.0,5.0,1.0,4.0,4.0,3.0,7.0,7.0,2.5,1.5,2.5,1.5
393,7.0,6.0,4.0,1.0,6.0,5.0,5.0,7.0,3.0,2.0,2.0,4.0,1.0,3.0
394,7.0,3.0,4.0,4.0,5.0,6.0,6.0,5.0,3.0,7.0,1.5,1.5,1.5,1.5
395,7.0,4.0,4.0,7.0,6.0,3.0,3.0,6.0,5.0,5.0,1.5,1.5,1.5,1.5
396,6.0,2.0,6.0,2.0,2.0,4.0,4.0,5.0,3.0,6.0,6.0,2.0,1.0,7.0
397,7.0,4.0,4.0,7.0,5.0,3.0,6.0,5.0,3.0,6.0,1.5,1.5,1.5,1.5
398,1.5,2.0,1.5,7.0,7.0,5.0,6.0,4.0,3.0,6.0,4.0,3.0,5.0,1.0
399,2.0,2.0,7.0,7.0,6.0,6.0,4.0,5.0,1.0,4.0,3.0,1.0,5.0,3.0
400,4.5,4.5,1.5,6.5,6.5,2.5,6.5,2.5,1.5,6.5,4.5,4.5,3.0,1.0
401,6.5,2.5,5.0,5.0,6.5,2.5,1.5,7.0,4.0,4.0,1.5,1.0,3.0,6.0
402,3.5,1.5,7.0,6.0,5.0,5.0,1.0,4.0,6.0,7.0,3.5,1.5,2.0,3.0
403,1.5,3.5,7.0,5.0,4.0,7.0,5.0,6.0,6.0,2.0,3.0,1.0,1.5,3.5
404,4.0,5.0,3.0,7.0,6.0,3.0,5.0,6.0,7.0,4.0,1.0,1.0,2.0,2.0
405,7.0,1.0,2.5,4.0,4.0,2.0,6.0,3.0,2.5,6.0,1.0,7.0,5.0,5.0
406,6.5,6.5,2.0,3.0,4.5,4.5,4.5,4.5,3.0,2.0,1.0,1.0,6.5,6.5
407,3.0,2.0,4.0,6.0,7.0,5.0,6.0,4.0,2.0,7.0,5.0,3.0,1.0,1.0
408,5.0,1.0,3.0,6.0,4.0,2.0,6.0,4.0,2.0,5.0,1.0,3.0,7.0,7.0
409,5.5,3.5,3.0,6.0,4.0,7.0,7.0,1.0,5.5,3.5,1.0,2.0,2.0,5.0
410,5.5,5.0,7.0,1.0,4.0,7.0,5.5,3.0,3.0,6.0,1.5,3.0,1.5,3.0
411,5.0,3.0,3.0,6.0,4.0,4.0,1.0,7.0,2.0,5.0,6.5,1.5,6.5,1.5
412,7.0,1.0,6.0,2.0,4.0,7.0,5.0,3.0,3.0,6.0,1.5,4.5,1.5,4.5
413,2.0,1.0,3.0,3.0,7.0,2.0,6.0,7.0,1.0,6.0,4.5,4.5,4.5,4.5
414,4.0,2.0,1.0,6.0,7.0,4.0,6.0,5.0,2.0,7.0,5.0,1.0,3.0,3.0
415,4.0,3.0,3.0,7.0,2.0,4.0,6.0,5.0,1.0,6.0,7.0,2.0,5.0,1.0
416,3.0,6.0,2.0,4.0,6.5,6.0,6.5,6.0,1.0,3.0,4.0,1.0,5.0,2.0
417,2.5,4.5,1.0,3.0,7.0,7.0,6.0,6.0,4.0,1.0,2.5,4.5,5.0,2.0
418,7.0,3.0,5.0,4.0,4.0,6.0,1.0,7.0,6.0,5.0,2.5,1.5,2.5,1.5
419,5.5,2.5,5.5,2.5,2.0,6.0,1.0,7.0,3.0,5.0,5.5,2.5,5.5,2.5
420,5.0,2.5,5.0,2.5,5.0,6.0,1.0,7.0,2.0,5.0,5.0,2.5,5.0,2.5
