,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
132,9,,,,,,,,,,,,,,
133,5,8.0,9.0,,,,,,,,,,,,
134,5,12.0,13.0,,,,,,,,,,,,
135,0,1.0,3.0,,,,,,,,,,,,
137,7,14.0,,,,,,,,,,,,,
138,7,8.0,13.0,14.0,,,,,,,,,,,
139,1,2.0,5.0,6.0,7.0,8.0,9.0,14.0,15.0,,,,,,
140,7,11.0,14.0,,,,,,,,,,,,
141,14,,,,,,,,,,,,,,
142,0,1.0,2.0,3.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0
144,6,9.0,,,,,,,,,,,,,
145,13,,,,,,,,,,,,,,
146,12,,,,,,,,,,,,,,
149,14,,,,,,,,,,,,,,
150,0,,,,,,,,,,,,,,
151,0,6.0,7.0,9.0,13.0,14.0,,,,,,,,,
152,1,2.0,3.0,6.0,7.0,15.0,,,,,,,,,
153,2,5.0,14.0,,,,,,,,,,,,
156,15,,,,,,,,,,,,,,
158,2,,,,,,,,,,,,,,
159,5,,,,,,,,,,,,,,
160,3,6.0,15.0,,,,,,,,,,,,
163,6,13.0,14.0,,,,,,,,,,,,
164,7,13.0,,,,,,,,,,,,,
166,13,,,,,,,,,,,,,,
167,14,,,,,,,,,,,,,,
168,14,,,,,,,,,,,,,,
169,15,,,,,,,,,,,,,,
170,15,,,,,,,,,,,,,,
171,0,2.0,3.0,4.0,6.0,10.0,12.0,15.0,,,,,,,
172,15,,,,,,,,,,,,,,
173,2,,,,,,,,,,,,,,
174,8,9.0,,,,,,,,,,,,,
175,0,1.0,2.0,3.0,4.0,6.0,7.0,9.0,13.0,14.0,15.0,,,,
176,4,,,,,,,,,,,,,,
177,6,13.0,14.0,,,,,,,,,,,,
178,11,,,,,,,,,,,,,,
179,1,2.0,4.0,5.0,7.0,8.0,9.0,13.0,14.0,,,,,,
180,2,14.0,,,,,,,,,,,,,
181,5,,,,,,,,,,,,,,
182,13,14.0,,,,,,,,,,,,,
183,13,14.0,,,,,,,,,,,,,
184,14,15.0,,,,,,,,,,,,,
185,14,,,,,,,,,,,,,,
186,14,,,,,,,,,,,,,,
187,0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,14.0,15.0
188,14,,,,,,,,,,,,,,
189,3,6.0,7.0,15.0,,,,,,,,,,,
190,0,,,,,,,,,,,,,,
191,13,14.0,,,,,,,,,,,,,
192,0,15.0,,,,,,,,,,,,,
193,11,,,,,,,,,,,,,,
194,1,,,,,,,,,,,,,,
195,11,,,,,,,,,,,,,,
196,0,10.0,12.0,,,,,,,,,,,,
197,7,,,,,,,,,,,,,,
198,15,,,,,,,,,,,,,,
199,2,4.0,5.0,7.0,14.0,,,,,,,,,,
200,9,,,,,,,,,,,,,,
201,0,6.0,,,,,,,,,,,,,
202,4,5.0,9.0,,,,,,,,,,,,
203,6,,,,,,,,,,,,,,
204,15,,,,,,,,,,,,,,
205,9,,,,,,,,,,,,,,
206,9,,,,,,,,,,,,,,
207,14,,,,,,,,,,,,,,
208,9,14.0,,,,,,,,,,,,,
209,14,,,,,,,,,,,,,,
210,7,,,,,,,,,,,,,,
211,1,3.0,5.0,9.0,15.0,,,,,,,,,,
212,9,14.0,,,,,,,,,,,,,
213,14,,,,,,,,,,,,,,
214,0,,,,,,,,,,,,,,
215,0,3.0,4.0,6.0,15.0,,,,,,,,,,
216,14,,,,,,,,,,,,,,
217,14,,,,,,,,,,,,,,
218,14,,,,,,,,,,,,,,
219,14,,,,,,,,,,,,,,
220,15,,,,,,,,,,,,,,
221,14,,,,,,,,,,,,,,
222,14,,,,,,,,,,,,,,
223,14,,,,,,,,,,,,,,
224,14,,,,,,,,,,,,,,
225,13,,,,,,,,,,,,,,
226,14,,,,,,,,,,,,,,
227,7,,,,,,,,,,,,,,
228,7,12.0,14.0,,,,,,,,,,,,
229,14,,,,,,,,,,,,,,
230,13,,,,,,,,,,,,,,
231,13,14.0,,,,,,,,,,,,,
232,13,,,,,,,,,,,,,,
233,14,,,,,,,,,,,,,,
234,14,,,,,,,,,,,,,,
235,7,14.0,,,,,,,,,,,,,
236,14,,,,,,,,,,,,,,
237,14,,,,,,,,,,,,,,
238,14,,,,,,,,,,,,,,
239,14,,,,,,,,,,,,,,
240,14,,,,,,,,,,,,,,
241,14,,,,,,,,,,,,,,
242,14,,,,,,,,,,,,,,
243,7,,,,,,,,,,,,,,
244,14,,,,,,,,,,,,,,
245,13,14.0,,,,,,,,,,,,,
246,14,,,,,,,,,,,,,,
247,14,,,,,,,,,,,,,,
248,14,,,,,,,,,,,,,,
249,14,,,,,,,,,,,,,,
250,14,,,,,,,,,,,,,,
