Metadataset,RandomForest,LogisticRegression,SVC,KNeighbors,GaussianNB,DecisionTree,AdaBoost,GradientBoosting,MLP,Bagging,ExtraTrees,Voting
concept_metadataset.csv,0.5555555555555556,0.6111111111111112,0.5555555555555556,0.5555555555555556,0.4444444444444444,0.4444444444444444,0.5,0.35294117647058826,0.5,0.5,0.4444444444444444,0.5555555555555556
clustering_metadataset.csv,0.5116279069767442,0.5581395348837209,0.6046511627906976,0.4418604651162791,0.32558139534883723,0.4418604651162791,0.46511627906976744,0.627906976744186,0.5116279069767442,0.5116279069767442,0.6511627906976745,0.627906976744186
all_metadataset.csv,0.775,0.45,0.575,0.4,0.4,0.475,0.575,0.425,0.275,0.65,0.725,0.75
general_metadataset.csv,0.7045454545454546,0.5909090909090909,0.5681818181818182,0.45454545454545453,0.3181818181818182,0.5909090909090909,0.38636363636363635,0.5909090909090909,0.5454545454545454,0.5909090909090909,0.5681818181818182,0.6363636363636364
model-based_metadataset.csv,0.525,0.358974358974359,0.625,0.4358974358974359,0.4358974358974359,0.5128205128205128,0.46153846153846156,0.525,0.3076923076923077,0.46153846153846156,0.48717948717948717,0.5128205128205128
landmarking_metadataset.csv,0.5813953488372093,0.5348837209302325,0.5348837209302325,0.6511627906976745,0.5116279069767442,0.6046511627906976,0.4883720930232558,0.6744186046511628,0.5,0.5813953488372093,0.6511627906976745,0.6046511627906976
itemset_metadataset.csv,0.5227272727272727,0.5227272727272727,0.5454545454545454,0.3953488372093023,0.5227272727272727,0.5,0.4186046511627907,0.45454545454545453,0.5454545454545454,0.45454545454545453,0.45454545454545453,0.5454545454545454
complexity_metadataset.csv,0.725,0.35,0.575,0.55,0.275,0.65,0.65,0.6,0.575,0.675,0.725,0.775
info-theory_metadataset.csv,0.5454545454545454,0.5454545454545454,0.5681818181818182,0.3488372093023256,0.36363636363636365,0.45454545454545453,0.5227272727272727,0.38636363636363635,0.5454545454545454,0.5227272727272727,0.5909090909090909,0.5681818181818182
d2v_pretrained_metadaset.csv,0.5227272727272727,0.5681818181818182,0.5454545454545454,0.4318181818181818,0.29545454545454547,0.4318181818181818,0.38636363636363635,0.4772727272727273,0.22727272727272727,0.38636363636363635,0.3953488372093023,0.6136363636363636
default_metadataset.csv,0.6046511627906976,0.37209302325581395,0.5454545454545454,0.38636363636363635,0.37209302325581395,0.4418604651162791,0.6976744186046512,0.7209302325581395,0.22727272727272727,0.5813953488372093,0.7209302325581395,0.6744186046511628
statistical_metadataset.csv,0.5227272727272727,0.36363636363636365,0.5454545454545454,0.5909090909090909,0.3409090909090909,0.5,0.5227272727272727,0.6136363636363636,0.3409090909090909,0.5,0.5454545454545454,0.5909090909090909
relative_metadataset.csv,0.6046511627906976,0.6046511627906976,0.6046511627906976,0.4090909090909091,0.5454545454545454,0.4418604651162791,0.5681818181818182,0.5116279069767442,0.5348837209302325,0.4418604651162791,0.5813953488372093,0.6744186046511628
