Metadataset,RandomForest,LogisticRegression,SVC,KNeighbors,GaussianNB,DecisionTree,AdaBoost,GradientBoosting,MLP,Bagging,ExtraTrees,Voting
concept_metadataset.csv,0.5555555555555556,0.5,0.6111111111111112,0.5,0.5555555555555556,0.5294117647058824,0.47058823529411764,0.47058823529411764,0.5,0.47058823529411764,0.5,0.6111111111111112
clustering_metadataset.csv,0.4883720930232558,0.46511627906976744,0.5116279069767442,0.4523809523809524,0.35714285714285715,0.3953488372093023,0.46511627906976744,0.4523809523809524,0.4883720930232558,0.4883720930232558,0.4418604651162791,0.5116279069767442
all_metadataset.csv,0.45,0.4,0.5,0.35,0.375,0.525,0.475,0.48717948717948717,0.3,0.5,0.6,0.6
general_metadataset.csv,0.5348837209302325,0.5,0.5454545454545454,0.4772727272727273,0.3409090909090909,0.45454545454545453,0.4318181818181818,0.4883720930232558,0.4772727272727273,0.5909090909090909,0.5227272727272727,0.4772727272727273
model-based_metadataset.csv,0.48717948717948717,0.3076923076923077,0.5128205128205128,0.375,0.41025641025641024,0.46153846153846156,0.4358974358974359,0.5641025641025641,0.2564102564102564,0.5128205128205128,0.5384615384615384,0.5384615384615384
landmarking_metadataset.csv,0.5,0.5581395348837209,0.4772727272727273,0.46511627906976744,0.5116279069767442,0.45454545454545453,0.4418604651162791,0.4883720930232558,0.5116279069767442,0.5116279069767442,0.5813953488372093,0.5454545454545454
itemset_metadataset.csv,0.5,0.5227272727272727,0.5,0.4090909090909091,0.4090909090909091,0.4186046511627907,0.4772727272727273,0.4318181818181818,0.5227272727272727,0.5813953488372093,0.4772727272727273,0.5
complexity_metadataset.csv,0.525,0.3170731707317073,0.55,0.4634146341463415,0.3,0.5,0.475,0.5121951219512195,0.43902439024390244,0.5365853658536586,0.5,0.5365853658536586
info-theory_metadataset.csv,0.4883720930232558,0.4772727272727273,0.5909090909090909,0.38636363636363635,0.3023255813953488,0.45454545454545453,0.5227272727272727,0.5454545454545454,0.45454545454545453,0.5227272727272727,0.6136363636363636,0.5227272727272727
d2v_pretrained_metadaset.csv,0.5227272727272727,0.5,0.4318181818181818,0.36363636363636365,0.32558139534883723,0.3409090909090909,0.45454545454545453,0.4318181818181818,0.32558139534883723,0.4090909090909091,0.4186046511627907,0.45454545454545453
default_metadataset.csv,0.5813953488372093,0.38636363636363635,0.4883720930232558,0.4418604651162791,0.3023255813953488,0.4418604651162791,0.4418604651162791,0.5,0.27906976744186046,0.5348837209302325,0.6046511627906976,0.5581395348837209
statistical_metadataset.csv,0.4772727272727273,0.3181818181818182,0.5348837209302325,0.38636363636363635,0.29545454545454547,0.4090909090909091,0.4318181818181818,0.45454545454545453,0.27906976744186046,0.4090909090909091,0.4772727272727273,0.5116279069767442
relative_metadataset.csv,0.5348837209302325,0.4772727272727273,0.5116279069767442,0.3488372093023256,0.5227272727272727,0.4186046511627907,0.5116279069767442,0.5454545454545454,0.45454545454545453,0.4418604651162791,0.45454545454545453,0.5348837209302325
