Metadataset,RandomForest,LogisticRegression,SVC,KNeighbors,GaussianNB,DecisionTree,AdaBoost,GradientBoosting,MLP,Bagging,ExtraTrees,Voting
info-theory_metadataset.csv,0.7062068965517241,0.6593103448275862,0.6827586206896552,0.550344827586207,0.5351724137931033,0.6000000000000001,0.6055172413793104,0.5103448275862069,0.663448275862069,0.6386206896551723,0.6399999999999999,0.7062068965517241
relative_metadataset.csv,0.6916666666666667,0.6444444444444445,0.6527777777777778,0.5777777777777777,0.575,0.5847222222222223,0.5944444444444444,0.5583333333333333,0.6861111111111111,0.6194444444444445,0.6027777777777777,0.6527777777777778
general_metadataset.csv,0.7337931034482759,0.576551724137931,0.7282758620689656,0.6331034482758621,0.5255172413793103,0.6275862068965518,0.6317241379310345,0.6648275862068965,0.7144827586206896,0.6524137931034483,0.666206896551724,0.7448275862068965
complexity_metadataset.csv,0.7037593984962406,0.5954887218045112,0.6345864661654135,0.6255639097744361,0.5639097744360901,0.5984962406015037,0.6210526315789473,0.637593984962406,0.6330827067669174,0.6526315789473685,0.6496240601503759,0.7022556390977444
default_metadataset.csv,0.7541666666666667,0.6236111111111111,0.7055555555555556,0.5986111111111111,0.5791666666666666,0.6416666666666667,0.6458333333333333,0.5444444444444444,0.3972222222222222,0.6930555555555555,0.6902777777777777,0.7374999999999999
d2v_pretrained_metadaset.csv,0.7117241379310345,0.4703448275862069,0.666206896551724,0.5820689655172414,0.3903448275862069,0.6248275862068965,0.6179310344827587,0.6344827586206897,0.343448275862069,0.6372413793103449,0.6331034482758622,0.6455172413793104
concept_metadataset.csv,0.7084745762711865,0.6338983050847458,0.7152542372881356,0.7220338983050847,0.6033898305084746,0.7084745762711864,0.6745762711864407,0.6474576271186441,0.7423728813559323,0.7118644067796611,0.7050847457627117,0.6813559322033897
model-based_metadataset.csv,0.6569230769230769,0.5569230769230769,0.7138461538461539,0.5661538461538461,0.5892307692307693,0.6338461538461538,0.6492307692307692,0.6184615384615385,0.5092307692307692,0.6461538461538462,0.6046153846153847,0.6861538461538462
clustering_metadataset.csv,0.6746478873239437,0.5915492957746478,0.647887323943662,0.5845070422535211,0.5140845070422536,0.6281690140845071,0.6394366197183099,0.6619718309859156,0.6577464788732394,0.6957746478873239,0.6492957746478873,0.695774647887324
landmarking_metadataset.csv,0.6513888888888889,0.6333333333333333,0.7347222222222222,0.6333333333333333,0.5944444444444444,0.5958333333333334,0.6083333333333333,0.6611111111111111,0.663888888888889,0.6486111111111111,0.6611111111111111,0.7180555555555556
statistical_metadataset.csv,0.7034482758620689,0.5875862068965516,0.6910344827586207,0.64,0.6427586206896552,0.64,0.6648275862068965,0.5158620689655172,0.5062068965517241,0.6524137931034482,0.6510344827586207,0.7324137931034482
itemset_metadataset.csv,0.6763888888888889,0.6875,0.6875,0.5638888888888889,0.6208333333333333,0.6277777777777778,0.586111111111111,0.6166666666666666,0.6527777777777778,0.6416666666666666,0.6333333333333333,0.7138888888888889
all_metadataset.csv,0.6863636363636363,0.5742424242424242,0.6681818181818182,0.5833333333333334,0.5257575757575758,0.5742424242424242,0.6878787878787879,0.6575757575757575,0.41818181818181815,0.6439393939393938,0.6651515151515152,0.6984848484848485
