dataset,best_node.mean,best_node.sd,elite_nn.mean,elite_nn.sd,linear_discr.mean,linear_discr.sd,naive_bayes.mean,naive_bayes.sd,one_nn.mean,one_nn.sd,random_node.mean,random_node.sd,worst_node.mean,worst_node.sd
26,0.938095238095238,0.1123513547249929,0.9238095238095236,0.1126872339638022,0.892857142857143,0.1005465036453962,0.9238095238095236,0.1126872339638022,0.9214285714285716,0.1144894568372273,0.7333333333333334,0.0547561533671757,0.9357142857142856,0.1144894568372273
27,0.7333333333333333,0.087488976377909,0.8033333333333333,0.0507961308918331,0.9433333333333334,0.0916919157145677,0.96,0.0843274042711567,0.8800000000000001,0.1146115285175789,0.6233333333333333,0.0545463898161492,0.6233333333333333,0.0545463898161492
28,0.8416666666666666,0.2305722885494126,0.775,0.2223957655694232,0.8749999999999998,0.1631575017287601,0.875,0.1631575017287601,0.8416666666666668,0.1687371394276382,0.7833333333333334,0.1531560972454469,0.7833333333333334,0.1531560972454469
29,0.52,0.1719172927763683,0.51,0.3134042472944842,0.74,0.2998147576235848,0.665,0.3206330543714349,0.55,0.262466929133727,0.595,0.222922507711636,0.5700000000000001,0.1960725489313699
30,0.7899999999999999,0.052967495273569,0.7750000000000001,1.1702778228589004e-16,0.8825,0.0312916389258643,0.6975,0.0248607231502938,0.8325000000000001,0.0601502747753953,0.7750000000000001,1.1702778228589004e-16,0.7750000000000001,1.1702778228589004e-16
31,0.425,0.1440700275543326,0.4,0.2249828525701843,0.5333333333333333,0.3561626761072135,0.4583333333333333,0.3245367068207756,0.575,0.1440700275543326,0.4666666666666666,0.1808757844011078,0.4916666666666667,0.3273773448574686
32,,,,,,,,,,,0.78,0.0318416219575713,,
33,0.9732142857142858,0.0566258856858346,0.9732142857142858,0.0566258856858346,0.8714285714285716,0.176936964318945,0.4446428571428572,0.1102235668715068,0.5696428571428571,0.1461548932963488,0.5803571428571428,0.0378807204207079,0.4946428571428572,0.0926164462849281
34,,,,,,,,,,,0.9067164179104475,0.0039331811693636,,
35,0.6166666666666666,0.314760343871451,0.5666666666666667,0.1405456737852612,0.7833333333333333,0.1765583175785633,0.6666666666666666,0.2078698548207745,0.6333333333333333,0.2459549291242073,0.7166666666666667,0.2229155849748764,0.6166666666666666,0.0805076485899413
