dataset,cohesiveness.mean,cohesiveness.sd,conceptvar.mean,conceptvar.sd,impconceptvar.mean,impconceptvar.sd,wg_dist.mean,wg_dist.sd
2,1381.6192841752454,34.06849354686242,0.4469226514342982,0.0876139568036378,656.4701340675126,70.93982021535916,0.8074390433350159,0.084334000366423
3,6217.92835,781.7727714749084,0.478133268971681,0.0842282872598908,2927.1224318181817,678.3812229080552,0.7457988166502584,0.2337035787288435
4,7.25,0.0,0.2693091248333885,0.212015600375729,2.2,1.6667516985111477,1.8108640737483144,0.0224341170095083
5,87.0,0.0,0.2019137747705061,0.2285011670108711,18.410526315789475,20.566166111868604,1.4871998947792635,0.0255184318905835
6,87.0,0.0,0.207289516861517,0.2255994507327171,19.001052631578947,20.4553951918566,1.4871998947792635,0.0255184318905835
7,82.5,0.0,0.1956906955102542,0.2295977283577542,16.82888888888889,19.518022092463177,1.4883543459633393,0.025619934872326
8,23.67168674698795,1.2449150909209443,0.2846665243788159,0.2467453817991094,9.283132530120485,2.782518677302749,0.4242767761031957,0.1917260787869041
9,168.19010107015458,20.445254775060977,0.4566806982903951,0.1119157015686346,73.89997027348394,22.43795759081761,1.8982971096848251,0.1356694845952083
10,12.245,0.0247435829652696,0.5075614745423196,0.0044139887333003,6.245,0.0247435829652696,1.535517692904332,0.0730483534712081
11,50.5527397260274,0.1394505532317029,0.2474234015360301,0.2510667504014722,12.627397260273971,12.734515190446269,1.9475473192506856,0.0144680647608887
12,inf,,,,,,,
13,23.975,2.5309844631963223,0.4446340460462969,0.1494201957370232,10.5875,3.6736484967006473,2.003289315243145,0.072865003896018
14,26.75,3.0735264575884464,0.493554900364929,0.0434239711803981,13.236742424242424,1.956300838653456,2.007356628282028,0.0824718593237586
15,inf,,,,,,,
16,inf,,,,,,,
17,inf,,,,,,,
18,51.28260869565217,7.333294865405968,0.119019981945178,0.2163144875178845,6.710144927536232,11.926946365850698,0.2814505896800134,0.0887247534006834
19,20.25,0.0,0.2974718920259457,0.2378901310483676,6.18,4.921040684056718,1.925412961133409,1.032114835179358e-15
20,30.04,6.192612289631652,0.372088110126785,0.2411387253182536,10.7675,6.418462460241966,0.9731830770229009,0.3517935360759261
21,5.612903225806452,0.9411622019198288,0.4270124040591721,0.1916024595618759,2.4596774193548385,1.2426396202465346,1.715597261986923,0.158433522545853
22,15.181701030927837,0.3920891803039534,0.3690654991173339,0.2192120833546221,5.506443298969073,3.28097077849768,2.122471287617339,0.0448207032989091
23,10.410326086956522,0.2818490792743814,0.3248227897821488,0.2364520890265368,3.395380434782609,2.4947938356205626,2.525879870225145,0.0541774815642539
24,135.57873274780425,8.256713863986862,0.31421106179842,0.2411067846806723,42.68099121706399,33.14433193387502,2.102194281221552,0.1299118952960312
25,inf,,,,,,,
26,15.190298507462687,1.9398334200188376,0.3824275487371616,0.2175785500625774,5.492537313432836,3.253631464520828,1.643676514204076,0.25528198820526
27,13.75,0.0,0.4417712025069921,0.1165747212614463,6.5625,1.7097647366071902,1.7774318600576164,3.2934537262255434e-16
28,15.390625,0.2284017046995871,0.2757063270080575,0.2864077301927634,4.796875,3.905866916699511,0.3375672545684305,0.1030752880490459
29,5.215773809523809,0.957803753337334,0.4920370738600298,0.0769427647528202,2.577380952380953,0.5560794688944198,2.347736876553307,0.2021796270146952
30,56.375,0.0,0.3193595552804923,0.2141515077259343,18.94,12.531426410017104,2.2470921291697024,1.5884796172620324e-15
31,13.355263157894736,0.5772476017629778,0.5056105637555968,0.088997427148594,6.815789473684211,0.8595335994217159,0.5914165613990346,0.1191299141149076
32,inf,,,,,,,
33,17.381756756756758,1.212960104040861,0.4840727818118632,0.0838620026694413,8.212837837837839,1.7643406702619726,1.6857674482671832,0.102414399334928
34,inf,,,,,,,
35,11.75,0.0,0.4206959994932271,0.1276721618157934,5.425,1.3561301497462726,1.799643236503599,1.1443232394552409e-15
36,8.007137345679013,0.7698628569802661,0.1071028549808094,0.2042918072421005,0.8678626543209876,1.6929548105398051,3.781121831382081,0.1307935275801054
37,100.40530303030305,8.370435610125721,0.1125397420742505,0.2130456561705702,12.265151515151516,20.503112477614994,0.4882505779260485,0.0984077594338277
38,2.8977506868131866,0.4157920589238832,0.4343416542911479,0.1697921341776339,1.267342032967033,0.5380223434547003,6.549104873676857,0.2022801115793201
39,18.60648148148148,0.0741281388021491,0.4815049312995737,0.0683006720721566,9.023148148148149,1.3365097159533337,1.6618299641006544,0.0409151912546161
40,inf,,,,,,,
41,18.4725,0.7002840332841578,0.1316501124471335,0.2222439247779823,2.46,4.178010316169671,1.7783742358213337,0.0475065606546388
42,inf,,,,,,,
43,15.159090909090908,1.746912861437154,0.4994245496720857,0.0111475982269738,7.520833333333333,1.1545964440954894,1.6557833572164815,0.2113258976602593
44,25.80864197530864,2.434861265599346,0.4793871838515052,0.0961352303051998,13.030864197530864,1.4066708903745613,0.494952203072176,0.1277484130942244
45,9.75,0.0,0.421777745100598,0.1182330060393378,4.6875,1.2257258446136503,1.716088782471281,3.76285023467348e-16
46,32.13225593667546,5.323885725301508,0.4907353495123029,0.06967388219922,15.605540897097626,3.4964333401566488,3.18763418128798,0.2027475477308292
47,inf,,,,,,,
48,43.35606060606061,0.4325951469727356,0.3034334253135905,0.1912886474615552,18.34469696969697,6.309717023377931,0.5111431104125317,0.0617460186312466
49,1167.7433366238895,98.29310218115852,0.3316179608838631,0.2198092114393686,418.6651653504442,258.8274511779957,0.9087379027884972,0.1792570685445298
50,inf,,,,,,,
51,9.125,0.0,0.3701443565293617,0.1221960980753682,4.213541666666667,0.6487294934514376,1.7579033553524657,3.80479129842026e-16
52,128.0,1.4789747012790837,0.4689333724639963,0.055667483775682,61.39316239316239,7.435163448269305,1.2562377690048805,0.0439021425843392
53,18.375,2.299976873149223,0.4582229667678812,0.1717550047564459,8.552083333333334,2.6153995328270705,0.4958042402703816,0.1285338063847905
54,46.48006134969325,4.488882150288192,0.3518782337729376,0.2051536529533401,18.73006134969325,9.503409946618998,0.639632840226426,0.1158495413812003
